timestamp,scenario_id,episode_id,step_id,robot_x,robot_y,robot_z,robot_yaw,robot_linear_velocity,robot_angular_velocity,goal_x,goal_y,goal_z,distance_to_goal,number_of_dynamic_objects,obstacle_positions,obstacle_velocities,human_positions,human_velocities,forklift_positions,forklift_velocities,collision,goal_reached,navigation_status,warehouse_length,warehouse_width,aisle_width,scenario_type
1.2929,10,4,12,6.6430,0.0500,-0.2072,270.9667,1.0325,-14.1739,-24.0000,0.0000,-15.0000,34.0268,7,"","","10.500:0.000:13.500|-4.200:0.000:-12.475|-22.975:0.000:-15.000|23.131:0.000:-14.457|8.400:0.000:8.975","0.000:0.000:0.000|0.000:0.000:0.800|0.800:0.000:0.000|-0.678:0.000:0.424|0.000:0.000:-0.800","-10.500:0.000:13.500|-22.388:0.000:14.578","0.000:0.000:0.000|1.258:0.000:-0.329",False,False,Moving,60.00,40.00,3.00,MultiAgentTraffic
1.3932,10,4,13,6.4935,0.0500,-0.2248,269.2325,1.0008,-10.6842,-24.0000,0.0000,-15.0000,33.8846,7,"","","10.500:0.000:13.500|-4.200:0.000:-12.395|-22.895:0.000:-15.000|23.063:0.000:-14.414|8.400:0.000:8.895","0.000:0.000:0.000|0.000:0.000:0.800|0.800:0.000:0.000|-0.678:0.000:0.424|0.000:0.000:-0.800","-10.500:0.000:13.500|-22.262:0.000:14.545","0.000:0.000:0.000|1.258:0.000:-0.329",False,False,Moving,60.00,40.00,3.00,MultiAgentTraffic
1.5022,10,4,14,6.3312,0.0500,-0.2440,267.7904,0.9698,-8.0826,-24.0000,0.0000,-15.0000,33.7302,7,"","","10.500:0.000:13.500|-4.200:0.000:-12.307|-22.807:0.000:-15.000|22.989:0.000:-14.368|8.400:0.000:8.807","0.000:0.000:0.000|0.000:0.000:0.800|0.800:0.000:0.000|-0.678:0.000:0.424|0.000:0.000:-0.800","-10.500:0.000:13.500|-22.125:0.000:14.509","0.000:0.000:0.000|1.258:0.000:-0.329",False,False,Moving,60.00,40.00,3.00,MultiAgentTraffic
1.6103,10,4,15,6.1701,0.0500,-0.2630,266.7042,1.0229,-6.2683,-24.0000,0.0000,-15.0000,33.5770,7,"","","10.500:0.000:13.500|-4.200:0.000:-12.221|-22.721:0.000:-15.000|22.915:0.000:-14.322|8.400:0.000:8.721","0.000:0.000:0.000|0.000:0.000:0.800|0.800:0.000:0.000|-0.678:0.000:0.424|0.000:0.000:-0.800","-10.500:0.000:13.500|-21.989:0.000:14.473","0.000:0.000:0.000|1.258:0.000:-0.329",False,False,Moving,60.00,40.00,3.00,MultiAgentTraffic
1.7130,10,4,16,6.0172,0.0500,-0.2810,265.9169,1.9626,-9.3674,-24.0000,0.0000,-15.0000,33.4318,7,"","","10.500:0.000:13.500|-4.200:0.000:-12.139|-22.639:0.000:-15.000|22.846:0.000:-14.279|8.400:0.000:8.639","0.000:0.000:0.000|0.000:0.000:0.800|0.800:0.000:0.000|-0.678:0.000:0.424|0.000:0.000:-0.800","-10.500:0.000:13.500|-21.860:0.000:14.440","0.000:0.000:0.000|1.258:0.000:-0.329",False,False,Moving,60.00,40.00,3.00,MultiAgentTraffic
1.8253,10,4,17,5.8498,0.0500,-0.3007,265.2608,1.7950,-6.6284,-24.0000,0.0000,-15.0000,33.2728,7,"","","10.500:0.000:13.500|-4.200:0.000:-12.049|-22.549:0.000:-15.000|22.769:0.000:-14.231|8.400:0.000:8.549","0.000:0.000:0.000|0.000:0.000:0.800|0.800:0.000:0.000|-0.678:0.000:0.424|0.000:0.000:-0.800","-10.500:0.000:13.500|-21.719:0.000:14.403","0.000:0.000:0.000|1.258:0.000:-0.329",False,False,Moving,60.00,40.00,3.00,MultiAgentTraffic
1.9254,10,4,18,5.7007,0.0500,-0.3183,264.8150,1.7829,-5.1102,-24.0000,0.0000,-15.0000,33.1314,7,"","","10.500:0.000:13.500|-4.200:0.000:-11.969|-22.469:0.000:-15.000|22.702:0.000:-14.188|8.400:0.000:8.469","0.000:0.000:0.000|0.000:0.000:0.800|0.800:0.000:0.000|-0.678:0.000:0.424|0.000:0.000:-0.800","-10.500:0.000:13.500|-21.593:0.000:14.370","0.000:0.000:0.000|1.258:0.000:-0.329",False,False,Moving,60.00,40.00,3.00,MultiAgentTraffic
2.0311,10,4,19,5.5432,0.0500,-0.3369,264.4519,0.9653,-2.0279,-24.0000,0.0000,-15.0000,32.9820,7,"","","10.500:0.000:13.500|-4.200:0.000:-11.884|-22.384:0.000:-15.000|22.630:0.000:-14.144|8.400:0.000:8.384","0.000:0.000:0.000|0.000:0.000:0.800|0.800:0.000:0.000|-0.678:0.000:0.424|0.000:0.000:-0.800","-10.500:0.000:13.500|-21.460:0.000:14.335","0.000:0.000:0.000|1.258:0.000:-0.329",False,False,Moving,60.00,40.00,3.00,MultiAgentTraffic
2.1393,10,4,20,5.3821,0.0500,-0.3559,264.1686,1.9616,-3.1754,-24.0000,0.0000,-15.0000,32.8292,7,"","","10.500:0.000:13.500|-4.200:0.000:-11.798|-22.298:0.000:-15.000|22.556:0.000:-14.098|8.400:0.000:8.298","0.000:0.000:0.000|0.000:0.000:0.800|0.800:0.000:0.000|-0.678:0.000:0.424|0.000:0.000:-0.800","-10.500:0.000:13.500|-21.324:0.000:14.299","0.000:0.000:0.000|1.258:0.000:-0.329",False,False,Moving,60.00,40.00,3.00,MultiAgentTraffic
2.2440,10,4,21,5.2260,0.0500,-0.3743,263.9597,0.9281,-1.1704,-24.0000,0.0000,-15.0000,32.6814,7,"","","10.500:0.000:13.500|-4.200:0.000:-11.714|-22.214:0.000:-15.000|22.485:0.000:-14.053|8.400:0.000:8.214","0.000:0.000:0.000|0.000:0.000:0.800|0.800:0.000:0.000|-0.678:0.000:0.424|0.000:0.000:-0.800","-10.500:0.000:13.500|-21.192:0.000:14.265","0.000:0.000:0.000|1.258:0.000:-0.329",False,False,Moving,60.00,40.00,3.00,MultiAgentTraffic
