timestamp,scenario_id,episode_id,step_id,lidar_min_distance,lidar_front_distance,lidar_left_distance,lidar_right_distance,lidar_measurement_count,camera_detection_count,camera_detected_objects,ax,ay,az,gx,gy,gz,left_wheel_distance,right_wheel_distance,left_wheel_velocity,right_wheel_velocity,estimated_x,estimated_y,estimated_yaw,estimated_velocity,missing_sensor_flag,sensor_dropout_flag,parcel_id,parcel_position,source_id,destination_id,parcel_mass,carrying_status,grasp_status,rack_available,PD1_available,PD2_available,PD3_available,human_positions,human_velocities,forklift_positions,forklift_velocities,h1_position,h1_velocity,h2_position,h2_velocity,h3_position,h3_velocity,h4_position,h4_velocity,h5_position,h5_velocity,f1_position,f1_velocity,f2_position,f2_velocity,battery_level,sensor_status,communication_delay,task_priority,current_task_stage
24.4593,4,4,240,7.6316,7.7091,9.8566,7.7447,180,1,"Parcel_1_R1_to_PD1:-23.02:0.39:-10.02",1.6148,0.0437,0.0268,-0.0078,0.0255,-0.0584,0.0114,0.0369,0.5429,1.7510,-12.6053,-4.6696,17.0078,1.1469,False,False,"Parcel_1","-23.076:0.429:-10.020","R1","PD1",3.000,True,True,True,True,True,True,"H1:-8.400:0.000:-8.450|H2:-4.200:0.000:6.066|H3:-22.000:0.000:-1.860|H4:4.200:0.000:-2.638|H5:8.400:0.000:0.863","H1:0.000:0.000:-0.800|H2:0.000:0.000:0.800|H3:0.000:0.000:-0.800|H4:0.000:0.000:0.800|H5:0.000:0.000:0.800","F1:-0.515:0.000:3.399|F2:20.000:0.000:-7.620","F1:0.000:0.000:0.000|F2:0.000:0.000:1.300","-8.400:0.000:-8.450","0.000:0.000:-0.800","-4.200:0.000:6.066","0.000:0.000:0.800","-22.000:0.000:-1.860","0.000:0.000:-0.800","4.200:0.000:-2.638","0.000:0.000:0.800","8.400:0.000:0.863","0.000:0.000:0.800","-0.515:0.000:3.399","0.000:0.000:0.000","20.000:0.000:-7.620","0.000:0.000:1.300",99.237,"Nominal",0.000,1,"Place:Place"
24.5610,4,4,241,7.5537,7.6889,9.8674,7.7715,180,1,"Parcel_1_R1_to_PD1:-23.12:0.42:-9.98",1.5963,0.0339,0.0840,-0.0150,-0.0052,-0.0008,0.0023,0.0118,0.1060,0.5359,-12.5830,-4.6001,19.5210,0.3209,False,False,"Parcel_1","-23.154:0.429:-10.021","R1","PD1",3.000,True,True,True,True,True,True,"H1:-8.400:0.000:-8.531|H2:-4.200:0.000:6.147|H3:-22.000:0.000:-1.941|H4:4.200:0.000:-2.557|H5:8.400:0.000:0.944","H1:0.000:0.000:-0.800|H2:0.000:0.000:0.800|H3:0.000:0.000:-0.800|H4:0.000:0.000:0.800|H5:0.000:0.000:0.800","F1:-0.515:0.000:3.399|F2:20.000:0.000:-7.488","F1:0.000:0.000:0.000|F2:0.000:0.000:1.300","-8.400:0.000:-8.531","0.000:0.000:-0.800","-4.200:0.000:6.147","0.000:0.000:0.800","-22.000:0.000:-1.941","0.000:0.000:-0.800","4.200:0.000:-2.557","0.000:0.000:0.800","8.400:0.000:0.944","0.000:0.000:0.800","-0.515:0.000:3.399","0.000:0.000:0.000","20.000:0.000:-7.488","0.000:0.000:1.300",99.232,"Nominal",0.000,1,"Place:Place"
24.6625,4,4,242,0.1000,7.5660,9.8303,7.7643,180,1,"Parcel_1_R1_to_PD1:-23.18:0.40:-10.05",1.6304,-0.0588,0.0396,-0.0319,-0.0320,0.0052,0.0152,0.0144,0.7115,0.6727,-12.5558,-4.5352,24.4613,0.6921,False,False,"Parcel_1","-22.000:0.000:-10.000","R1","PD1",3.000,True,True,True,True,True,True,"H1:-8.400:0.000:-8.613|H2:-4.200:0.000:6.228|H3:-22.000:0.000:-2.022|H4:4.200:0.000:-2.476|H5:8.400:0.000:1.025","H1:0.000:0.000:-0.800|H2:0.000:0.000:0.800|H3:0.000:0.000:-0.800|H4:0.000:0.000:0.800|H5:0.000:0.000:0.800","F1:-0.515:0.000:3.399|F2:20.000:0.000:-7.356","F1:0.000:0.000:0.000|F2:0.000:0.000:1.300","-8.400:0.000:-8.613","0.000:0.000:-0.800","-4.200:0.000:6.228","0.000:0.000:0.800","-22.000:0.000:-2.022","0.000:0.000:-0.800","4.200:0.000:-2.476","0.000:0.000:0.800","8.400:0.000:1.025","0.000:0.000:0.800","-0.515:0.000:3.399","0.000:0.000:0.000","20.000:0.000:-7.356","0.000:0.000:1.300",99.228,"Nominal",0.000,1,"VerifyRelease:Wait"
24.7636,4,4,243,0.1023,7.5022,9.8433,7.8289,180,0,"",1.6039,-0.0841,0.0252,0.0018,-0.0075,-0.0213,-0.0103,0.0100,-0.5120,0.4998,-12.5457,-4.5136,28.4732,-0.0061,False,False,"Parcel_1","-22.000:0.000:-10.000","R1","PD1",3.000,True,True,True,True,True,True,"H1:-8.400:0.000:-8.694|H2:-4.200:0.000:6.309|H3:-22.000:0.000:-2.103|H4:4.200:0.000:-2.395|H5:8.400:0.000:1.106","H1:0.000:0.000:-0.800|H2:0.000:0.000:0.800|H3:0.000:0.000:-0.800|H4:0.000:0.000:0.800|H5:0.000:0.000:0.800","F1:-0.515:0.000:3.399|F2:20.000:0.000:-7.224","F1:0.000:0.000:0.000|F2:0.000:0.000:1.300","-8.400:0.000:-8.694","0.000:0.000:-0.800","-4.200:0.000:6.309","0.000:0.000:0.800","-22.000:0.000:-2.103","0.000:0.000:-0.800","4.200:0.000:-2.395","0.000:0.000:0.800","8.400:0.000:1.106","0.000:0.000:0.800","-0.515:0.000:3.399","0.000:0.000:0.000","20.000:0.000:-7.224","0.000:0.000:1.300",99.223,"Nominal",0.000,1,"VerifyRelease:Wait"
24.8643,4,4,244,0.1260,7.4935,9.8285,10.0000,180,0,"",1.6482,0.0177,-0.0065,-0.0137,0.0321,0.0063,0.0088,0.0084,0.4308,0.4084,-12.5273,-4.4810,29.7120,0.4196,False,False,"Parcel_1","-22.000:0.000:-10.000","R1","PD1",3.000,True,True,True,True,True,True,"H1:-8.400:0.000:-8.774|H2:-4.200:0.000:6.390|H3:-22.000:0.000:-2.183|H4:4.200:0.000:-2.314|H5:8.400:0.000:1.187","H1:0.000:0.000:-0.800|H2:0.000:0.000:0.800|H3:0.000:0.000:-0.800|H4:0.000:0.000:0.800|H5:0.000:0.000:0.800","F1:-0.515:0.000:3.399|F2:20.000:0.000:-7.093","F1:0.000:0.000:0.000|F2:0.000:0.000:1.300","-8.400:0.000:-8.774","0.000:0.000:-0.800","-4.200:0.000:6.390","0.000:0.000:0.800","-22.000:0.000:-2.183","0.000:0.000:-0.800","4.200:0.000:-2.314","0.000:0.000:0.800","8.400:0.000:1.187","0.000:0.000:0.800","-0.515:0.000:3.399","0.000:0.000:0.000","20.000:0.000:-7.093","0.000:0.000:1.300",99.219,"Nominal",0.000,1,"VerifyRelease:Wait"
24.9645,4,4,245,0.1333,7.4972,9.8224,10.0000,180,0,"",1.6923,-0.1087,0.0143,-0.0211,-0.0157,-0.0038,-0.0194,0.0047,-0.8847,0.2127,-12.5140,-4.4567,26.7990,-0.3360,False,False,"Parcel_1","-22.000:0.000:-10.000","R1","PD1",3.000,True,True,True,True,True,True,"H1:-8.400:0.000:-8.854|H2:-4.200:0.000:6.470|H3:-22.000:0.000:-2.264|H4:4.200:0.000:-2.234|H5:8.400:0.000:1.267","H1:0.000:0.000:-0.800|H2:0.000:0.000:0.800|H3:0.000:0.000:-0.800|H4:0.000:0.000:0.800|H5:0.000:0.000:0.800","F1:-0.515:0.000:3.399|F2:20.000:0.000:-6.963","F1:0.000:0.000:0.000|F2:0.000:0.000:1.300","-8.400:0.000:-8.854","0.000:0.000:-0.800","-4.200:0.000:6.470","0.000:0.000:0.800","-22.000:0.000:-2.264","0.000:0.000:-0.800","4.200:0.000:-2.234","0.000:0.000:0.800","8.400:0.000:1.267","0.000:0.000:0.800","-0.515:0.000:3.399","0.000:0.000:0.000","20.000:0.000:-6.963","0.000:0.000:1.300",99.214,"Nominal",0.000,1,"VerifyRelease:Wait"
25.0666,4,4,246,0.1174,7.4915,9.8285,9.9710,180,0,"",0.0175,0.0395,0.0276,0.0222,0.0108,-0.0110,0.0022,-0.0021,0.1070,-0.1022,-12.5124,-4.4534,28.7735,0.0024,False,False,"Parcel_1","-22.000:0.000:-10.000","R1","PD1",3.000,True,True,True,True,True,True,"H1:-8.400:0.000:-8.936|H2:-4.200:0.000:6.552|H3:-22.000:0.000:-2.345|H4:4.200:0.000:-2.152|H5:8.400:0.000:1.349","H1:0.000:0.000:-0.800|H2:0.000:0.000:0.800|H3:0.000:0.000:-0.800|H4:0.000:0.000:0.800|H5:0.000:0.000:0.800","F1:-0.515:0.000:3.399|F2:20.000:0.000:-6.830","F1:0.000:0.000:0.000|F2:0.000:0.000:1.300","-8.400:0.000:-8.936","0.000:0.000:-0.800","-4.200:0.000:6.552","0.000:0.000:0.800","-22.000:0.000:-2.345","0.000:0.000:-0.800","4.200:0.000:-2.152","0.000:0.000:0.800","8.400:0.000:1.349","0.000:0.000:0.800","-0.515:0.000:3.399","0.000:0.000:0.000","20.000:0.000:-6.830","0.000:0.000:1.300",99.210,"Nominal",0.000,1,"VerifyRelease:Wait"
25.1687,4,4,247,0.1000,7.5276,9.9788,7.3321,180,0,"",-0.0158,-0.0100,8.0657,-0.0220,1.5853,0.0252,0.0041,0.0032,0.1901,0.1496,-12.5078,-4.4468,38.3829,0.1699,False,False,"Parcel_2","-22.000:0.350:0.000","PD2","R2",3.000,False,False,True,True,True,True,"H1:-8.400:0.000:-9.018|H2:-4.200:0.000:6.633|H3:-22.000:0.000:-2.427|H4:4.200:0.000:-2.071|H5:8.400:0.000:1.430","H1:0.000:0.000:-0.800|H2:0.000:0.000:0.800|H3:0.000:0.000:-0.800|H4:0.000:0.000:0.800|H5:0.000:0.000:0.800","F1:-0.515:0.000:3.399|F2:20.000:0.000:-6.698","F1:0.000:0.000:0.000|F2:0.000:0.000:1.300","-8.400:0.000:-9.018","0.000:0.000:-0.800","-4.200:0.000:6.633","0.000:0.000:0.800","-22.000:0.000:-2.427","0.000:0.000:-0.800","4.200:0.000:-2.071","0.000:0.000:0.800","8.400:0.000:1.430","0.000:0.000:0.800","-0.515:0.000:3.399","0.000:0.000:0.000","20.000:0.000:-6.698","0.000:0.000:1.300",99.207,"Nominal",0.000,1,"NavigateToSource:Forward"
25.2694,4,4,248,0.2652,7.8331,10.0000,10.0000,180,0,"",-0.1218,-0.0090,8.1226,0.0149,1.5524,-0.0261,0.0198,0.0163,0.9450,0.7763,-12.4157,-4.3686,51.5493,0.8607,False,False,"Parcel_2","-22.000:0.350:0.000","PD2","R2",3.000,False,False,True,True,True,True,"H1:-8.400:0.000:-9.098|H2:-4.200:0.000:6.714|H3:-22.000:0.000:-2.508|H4:4.200:0.000:-1.990|H5:8.400:0.000:1.511","H1:0.000:0.000:-0.800|H2:0.000:0.000:0.800|H3:0.000:0.000:-0.800|H4:0.000:0.000:0.800|H5:0.000:0.000:0.800","F1:-0.515:0.000:3.399|F2:20.000:0.000:-6.567","F1:0.000:0.000:0.000|F2:0.000:0.000:1.300","-8.400:0.000:-9.098","0.000:0.000:-0.800","-4.200:0.000:6.714","0.000:0.000:0.800","-22.000:0.000:-2.508","0.000:0.000:-0.800","4.200:0.000:-1.990","0.000:0.000:0.800","8.400:0.000:1.511","0.000:0.000:0.800","-0.515:0.000:3.399","0.000:0.000:0.000","20.000:0.000:-6.567","0.000:0.000:1.300",99.205,"Nominal",0.000,1,"NavigateToSource:Forward"
25.3716,4,4,249,0.1904,8.3339,9.9856,10.0000,180,0,"",-0.0656,0.0856,0.0247,0.0229,1.5754,-0.0236,0.0316,0.0335,1.5762,1.6703,-12.2748,-4.2644,55.3652,1.6233,False,False,"Parcel_2","-22.000:0.350:0.000","PD2","R2",3.000,False,False,True,True,True,True,"H1:-8.400:0.000:-9.180|H2:-4.200:0.000:6.796|H3:-22.000:0.000:-2.589|H4:4.200:0.000:-1.908|H5:8.400:0.000:1.593","H1:0.000:0.000:-0.800|H2:0.000:0.000:0.800|H3:0.000:0.000:-0.800|H4:0.000:0.000:0.800|H5:0.000:0.000:0.800","F1:-0.515:0.000:3.399|F2:20.000:0.000:-6.434","F1:0.000:0.000:0.000|F2:0.000:0.000:1.300","-8.400:0.000:-9.180","0.000:0.000:-0.800","-4.200:0.000:6.796","0.000:0.000:0.800","-22.000:0.000:-2.589","0.000:0.000:-0.800","4.200:0.000:-1.908","0.000:0.000:0.800","8.400:0.000:1.593","0.000:0.000:0.800","-0.515:0.000:3.399","0.000:0.000:0.000","20.000:0.000:-6.434","0.000:0.000:1.300",99.203,"Nominal",0.000,1,"NavigateToSource:Forward"
