benchmark_episode,benchmark_episode_total,global_episode_id,scenario_id,scenario_code,scenario_name,outcome,duration_seconds,mission_success,collisions,completed_parcel_tasks,total_parcel_tasks,battery_level,final_task_stage
1,1,135,4,"A4","Rack Relocation Causing Wrong Parcel Placement","WRONG_PLACEMENT",38.815,False,0,0,3,98.37,"Complete"
1,1,136,4,"A4","Rack Relocation Causing Wrong Parcel Placement","WRONG_PLACEMENT",38.738,False,0,0,3,98.37,"Complete"
1,1,137,13,"T3","LiDAR Observation Degradation","COLLISION_HUMAN",43.286,False,1,0,1,98.16,"Complete"
1,1,138,4,"A4","Rack Relocation Causing Wrong Parcel Placement","WRONG_PLACEMENT",38.772,False,0,0,3,98.37,"Complete"
1,1,140,4,"A4","Rack Relocation Causing Wrong Parcel Placement","WRONG_PLACEMENT",38.876,False,0,0,3,98.37,"Complete"
1,1,141,13,"T3","LiDAR Observation Degradation","COLLISION_HUMAN",45.180,False,1,0,1,98.12,"Complete"
1,1,142,13,"T3","LiDAR Observation Degradation","COLLISION_HUMAN",43.318,False,1,0,1,98.16,"Complete"
1,1,143,13,"T3","LiDAR Observation Degradation","COLLISION_HUMAN",43.389,False,1,0,1,98.16,"Complete"
1,1,144,13,"T3","LiDAR Observation Degradation","COLLISION_HUMAN",43.386,False,1,0,1,98.16,"Complete"
1,1,145,13,"T3","LiDAR Observation Degradation","COLLISION_HUMAN",43.303,False,1,0,1,98.16,"Complete"
1,1,146,13,"T3","LiDAR Observation Degradation","COLLISION_HUMAN",43.379,False,1,0,1,98.16,"Complete"
1,1,147,13,"T3","LiDAR Observation Degradation","COLLISION_HUMAN",43.295,False,1,0,1,98.16,"Complete"
1,1,148,13,"T3","LiDAR Observation Degradation","COLLISION_HUMAN",44.001,False,1,0,1,98.13,"Complete"
1,1,149,13,"T3","LiDAR Observation Degradation","COLLISION_HUMAN",43.550,False,1,0,1,98.15,"Complete"
1,1,150,13,"T3","LiDAR Observation Degradation","SUCCESS",61.128,True,0,1,1,97.40,"Complete"
1,1,151,13,"T3","LiDAR Observation Degradation","COLLISION_HUMAN",44.378,False,1,0,1,98.12,"Complete"
1,1,152,13,"T3","LiDAR Observation Degradation","TIMEOUT",120.000,False,0,0,1,94.71,"NavigateToDestination"
1,1,153,13,"T3","LiDAR Observation Degradation","COLLISION_HUMAN",43.818,False,1,0,1,98.14,"Complete"
1,1,154,13,"T3","LiDAR Observation Degradation","COLLISION_HUMAN",43.771,False,1,0,1,98.14,"Complete"
1,1,155,13,"T3","LiDAR Observation Degradation","COLLISION_HUMAN",43.607,False,1,0,1,98.15,"Complete"
