update,timesteps,policy_accuracy,unsafe_action_rate,policy_loss,value_loss,entropy
106,434176,0.811279,0.0,-0.0,0.445236,0.005242
107,438272,0.825684,0.0,-9.3e-05,0.445593,0.004974
108,442368,0.810303,0.0,-1e-05,0.451274,0.004822
109,446464,0.823486,0.0,-0.000294,0.469132,0.004876
110,450560,0.820068,0.0,-3.9e-05,0.458288,0.00492
111,454656,0.827637,0.0,-0.0,0.434814,0.005078
112,458752,0.82373,0.0,-0.000114,0.452887,0.004894
113,462848,0.82666,0.0,0.0,0.440488,0.00449
114,466944,0.826172,0.0,-1.7e-05,0.437086,0.004514
115,471040,0.808594,0.0,-0.000105,0.453515,0.004416
116,475136,0.814697,0.0,-0.000221,0.45864,0.004319
117,479232,0.816162,0.0,-3.8e-05,0.445133,0.004206
118,483328,0.821777,0.0,-0.000266,0.44756,0.004298
119,487424,0.817383,0.0,-0.000455,0.464144,0.003879
120,491520,0.827148,0.0,-2.4e-05,0.44947,0.003646
121,495616,0.821045,0.0,0.0,0.437554,0.003525
122,499712,0.8125,0.0,-0.0,0.438849,0.003585
123,503808,0.830566,0.0,-1.2e-05,0.44441,0.003723
124,507904,0.827148,0.0,0.0,0.440805,0.003796
125,512000,0.82251,0.0,-0.000312,0.457173,0.003638
126,516096,0.821533,0.0,-0.000359,0.45228,0.003517
127,520192,0.819824,0.0,-0.000109,0.440304,0.00313
128,524288,0.816895,0.0,-4e-06,0.445166,0.003019
129,528384,0.822021,0.0,-0.000279,0.432059,0.002961
130,532480,0.815674,0.0,-0.000357,0.463593,0.00281
131,536576,0.822021,0.0,-3.2e-05,0.449569,0.002767
132,540672,0.820068,0.0,-0.000328,0.446407,0.002624
133,544768,0.828857,0.0,-0.000928,0.491217,0.002521
134,548864,0.813232,0.0,-0.0,0.440466,0.002547
135,552960,0.823242,0.0,-0.000167,0.445777,0.002522
136,557056,0.819336,0.0,-0.000143,0.435756,0.002351
137,561152,0.825928,0.0,-0.000153,0.453336,0.00229
138,565248,0.817871,0.0,-0.000891,0.466861,0.002223
139,569344,0.827148,0.0,-0.000389,0.458953,0.002272
140,573440,0.812988,0.0,-0.000362,0.451938,0.002398
141,577536,0.81543,0.0,-0.0,0.458434,0.002526
142,581632,0.815918,0.0,-0.0,0.439232,0.002508
143,585728,0.82666,0.0,-0.0,0.439776,0.002519
144,589824,0.822266,0.0,-0.0,0.449238,0.002527
145,593920,0.822998,0.0,-1.9e-05,0.445692,0.002437
146,598016,0.828369,0.0,-0.00022,0.443309,0.00226
147,602112,0.817627,0.0,-0.0001,0.446571,0.00208
148,606208,0.813965,0.0,-2.3e-05,0.445158,0.001981
149,610304,0.828369,0.0,-0.000169,0.456069,0.001953
150,614400,0.803467,0.0,-0.00016,0.445793,0.001762
151,618496,0.82959,0.0,-2.1e-05,0.445554,0.00169
152,622592,0.817383,0.0,0.0,0.452744,0.001679
153,626688,0.815918,0.0,-0.0,0.445721,0.001672
154,630784,0.826416,0.0,-0.000106,0.435567,0.00165
155,634880,0.820312,0.0,-0.000403,0.462832,0.001605
156,638976,0.816895,0.0,-7.5e-05,0.442657,0.001578
157,643072,0.832275,0.0,-0.0,0.451215,0.001512
158,647168,0.822021,0.0,0.0,0.461091,0.001514
159,651264,0.82666,0.0,-0.0,0.440186,0.001505
160,655360,0.825928,0.0,-0.0,0.448215,0.001546
