timestamp,scenario_id,episode_id,step_id,lidar_min_distance,lidar_front_distance,lidar_left_distance,lidar_right_distance,lidar_measurement_count,camera_detection_count,camera_detected_objects,ax,ay,az,gx,gy,gz,left_wheel_distance,right_wheel_distance,left_wheel_velocity,right_wheel_velocity,estimated_x,estimated_y,estimated_yaw,estimated_velocity,missing_sensor_flag,sensor_dropout_flag,parcel_id,parcel_position,source_id,destination_id,barcode_id,parcel_category,destination_rack_id,destination_slot_id,parcel_mass,empty_slot_count,carrying_status,grasp_status,rack_available,PD1_available,PD2_available,PD3_available,human_positions,human_velocities,forklift_positions,forklift_velocities,h1_position,h1_velocity,h2_position,h2_velocity,h3_position,h3_velocity,h4_position,h4_velocity,h5_position,h5_velocity,f1_position,f1_velocity,f2_position,f2_velocity,battery_level,sensor_status,communication_delay,task_priority,current_task_stage
0.1011,8,3,1,1.8661,10.0000,10.0000,10.0000,180,1,"Human(Clone):8.40:0.00:9.97",23.3865,-31.9353,-2.7466,-0.0233,1.6105,-0.0063,0.0072,0.0139,0.3245,0.6261,4.2064,-8.9346,6.3628,0.4753,False,False,"Parcel_1","24.806:1.050:-15.504","P2","D3-Healthcare","ATD-HLT-0001","Healthcare","Rack_0_0","Rack_0_0-S01",3.000,3,False,False,True,False,True,True,"H1:10.500:0.000:13.500|H2:-4.200:0.000:-13.422|H3:-23.922:0.000:-14.991|H4:4.200:0.000:13.422|H5:8.400:0.000:9.922","H1:0.000:0.000:0.000|H2:0.000:0.000:0.800|H3:0.795:0.000:0.088|H4:0.000:0.000:-0.800|H5:0.000:0.000:-0.800","F1:-13.873:0.000:0.000|F2:0.000:0.000:-11.873","F1:1.300:0.000:0.000|F2:0.000:0.000:1.300","10.500:0.000:13.500","0.000:0.000:0.000","-4.200:0.000:-13.422","0.000:0.000:0.800","-23.922:0.000:-14.991","0.795:0.000:0.088","4.200:0.000:13.422","0.000:0.000:-0.800","8.400:0.000:9.922","0.000:0.000:-0.800","-13.873:0.000:0.000","1.300:0.000:0.000","0.000:0.000:-11.873","0.000:0.000:1.300",99.998,"Nominal",0.000,1,"NavigateToSource:Forward"
0.2017,8,3,2,1.7554,5.1433,6.0533,9.9854,180,1,"Human(Clone):8.39:-0.04:9.87",8.0981,-0.0161,-0.9200,-0.0205,1.5607,0.0137,0.0283,0.0338,1.2842,1.5311,4.2243,-8.8382,13.3480,1.4076,False,False,"Parcel_1","24.806:1.050:-15.504","P2","D3-Healthcare","ATD-HLT-0001","Healthcare","Rack_0_0","Rack_0_0-S01",3.000,3,False,False,True,False,True,True,"H1:10.500:0.000:13.500|H2:-4.200:0.000:-13.341|H3:-23.842:0.000:-14.982|H4:4.200:0.000:13.341|H5:8.400:0.000:9.841","H1:0.000:0.000:0.000|H2:0.000:0.000:0.800|H3:0.795:0.000:0.088|H4:0.000:0.000:-0.800|H5:0.000:0.000:-0.800","F1:-13.742:0.000:0.000|F2:0.000:0.000:-11.742","F1:1.300:0.000:0.000|F2:0.000:0.000:1.300","10.500:0.000:13.500","0.000:0.000:0.000","-4.200:0.000:-13.341","0.000:0.000:0.800","-23.842:0.000:-14.982","0.795:0.000:0.088","4.200:0.000:13.341","0.000:0.000:-0.800","8.400:0.000:9.841","0.000:0.000:-0.800","-13.742:0.000:0.000","1.300:0.000:0.000","0.000:0.000:-11.742","0.000:0.000:1.300",99.996,"Nominal",0.000,1,"NavigateToSource:Forward"
0.3036,8,3,3,1.6665,2.7890,3.0345,5.7780,180,2,"Human(Clone):4.20:-0.04:13.30|Human(Clone):8.38:-0.02:9.82",0.0243,-0.0385,-0.0386,0.0333,1.5919,-0.0262,0.0346,0.0315,1.7138,1.5634,4.2681,-8.6695,15.1210,1.6386,False,False,"Parcel_1","24.806:1.050:-15.504","P2","D3-Healthcare","ATD-HLT-0001","Healthcare","Rack_0_0","Rack_0_0-S01",3.000,3,False,False,True,False,True,True,"H1:10.500:0.000:13.500|H2:-4.200:0.000:-13.260|H3:-23.761:0.000:-14.973|H4:4.200:0.000:13.260|H5:8.400:0.000:9.760","H1:0.000:0.000:0.000|H2:0.000:0.000:0.800|H3:0.795:0.000:0.088|H4:0.000:0.000:-0.800|H5:0.000:0.000:-0.800","F1:-13.610:0.000:0.000|F2:0.000:0.000:-11.610","F1:1.300:0.000:0.000|F2:0.000:0.000:1.300","10.500:0.000:13.500","0.000:0.000:0.000","-4.200:0.000:-13.260","0.000:0.000:0.800","-23.761:0.000:-14.973","0.795:0.000:0.088","4.200:0.000:13.260","0.000:0.000:-0.800","8.400:0.000:9.760","0.000:0.000:-0.800","-13.610:0.000:0.000","1.300:0.000:0.000","0.000:0.000:-11.610","0.000:0.000:1.300",99.994,"Nominal",0.000,1,"NavigateToSource:Forward"
0.4046,8,3,4,1.5731,1.6784,2.4783,6.0814,180,2,"Human(Clone):4.19:-0.01:13.19|Human(Clone):8.42:0.04:9.67",-0.0124,-0.1044,-0.0781,0.0042,1.5380,-0.0244,0.0291,0.0378,1.2698,1.6496,4.3164,-8.5297,21.8628,1.4597,False,False,"Parcel_1","24.806:1.050:-15.504","P2","D3-Healthcare","ATD-HLT-0001","Healthcare","Rack_0_0","Rack_0_0-S01",3.000,3,False,False,True,False,True,True,"H1:10.500:0.000:13.500|H2:-4.200:0.000:-13.179|H3:-23.681:0.000:-14.965|H4:4.200:0.000:13.179|H5:8.400:0.000:9.679","H1:0.000:0.000:0.000|H2:0.000:0.000:0.800|H3:0.795:0.000:0.088|H4:0.000:0.000:-0.800|H5:0.000:0.000:-0.800","F1:-13.478:0.000:0.000|F2:0.000:0.000:-11.478","F1:1.300:0.000:0.000|F2:0.000:0.000:1.300","10.500:0.000:13.500","0.000:0.000:0.000","-4.200:0.000:-13.179","0.000:0.000:0.800","-23.681:0.000:-14.965","0.795:0.000:0.088","4.200:0.000:13.179","0.000:0.000:-0.800","8.400:0.000:9.679","0.000:0.000:-0.800","-13.478:0.000:0.000","1.300:0.000:0.000","0.000:0.000:-11.478","0.000:0.000:1.300",99.992,"Nominal",0.000,1,"NavigateToSource:Forward"
0.5068,8,3,5,1.4809,1.7416,3.0711,2.5766,180,4,"Human(Clone):4.17:0.00:13.14|Human(Clone):10.47:-0.03:13.48|Charging Cabinet:23.11:0.69:-12.56|Human(Clone):8.40:0.04:9.65",0.0167,0.0411,0.0432,-0.0016,1.5420,0.0011,0.0199,0.0113,0.9257,0.5249,4.3534,-8.4437,23.0421,0.7253,False,False,"Parcel_1","24.806:1.050:-15.504","P2","D3-Healthcare","ATD-HLT-0001","Healthcare","Rack_0_0","Rack_0_0-S01",3.000,3,False,False,True,False,True,True,"H1:10.500:0.000:13.500|H2:-4.200:0.000:-13.097|H3:-23.600:0.000:-14.956|H4:4.200:0.000:13.097|H5:8.400:0.000:9.597","H1:0.000:0.000:0.000|H2:0.000:0.000:0.800|H3:0.795:0.000:0.088|H4:0.000:0.000:-0.800|H5:0.000:0.000:-0.800","F1:-13.345:0.000:0.000|F2:0.000:0.000:-11.345","F1:1.300:0.000:0.000|F2:0.000:0.000:1.300","10.500:0.000:13.500","0.000:0.000:0.000","-4.200:0.000:-13.097","0.000:0.000:0.800","-23.600:0.000:-14.956","0.795:0.000:0.088","4.200:0.000:13.097","0.000:0.000:-0.800","8.400:0.000:9.597","0.000:0.000:-0.800","-13.345:0.000:0.000","1.300:0.000:0.000","0.000:0.000:-11.345","0.000:0.000:1.300",99.990,"Nominal",0.000,1,"NavigateToSource:Forward"
0.6086,8,3,6,1.4810,2.1816,3.8766,2.1465,180,5,"Human(Clone):4.18:-0.01:12.98|Human(Clone):10.52:-0.02:13.51|Charging Cabinet:23.06:0.68:-12.55|Human(Clone):8.41:-0.04:9.54|Parcel_ATD-HLT-0001_Healthcare:24.81:1.01:-15.51",-0.0093,0.0039,-0.1050,-0.0231,1.5993,-0.0046,0.0318,0.0355,1.5896,1.7752,4.4511,-8.2844,36.6819,1.6824,False,False,"Parcel_1","24.806:1.050:-15.504","P2","D3-Healthcare","ATD-HLT-0001","Healthcare","Rack_0_0","Rack_0_0-S01",3.000,3,False,False,True,False,True,True,"H1:10.500:0.000:13.500|H2:-4.200:0.000:-13.016|H3:-23.519:0.000:-14.947|H4:4.200:0.000:13.016|H5:8.400:0.000:9.516","H1:0.000:0.000:0.000|H2:0.000:0.000:0.800|H3:0.795:0.000:0.088|H4:0.000:0.000:-0.800|H5:0.000:0.000:-0.800","F1:-13.213:0.000:0.000|F2:0.000:0.000:-11.213","F1:1.300:0.000:0.000|F2:0.000:0.000:1.300","10.500:0.000:13.500","0.000:0.000:0.000","-4.200:0.000:-13.016","0.000:0.000:0.800","-23.519:0.000:-14.947","0.795:0.000:0.088","4.200:0.000:13.016","0.000:0.000:-0.800","8.400:0.000:9.516","0.000:0.000:-0.800","-13.213:0.000:0.000","1.300:0.000:0.000","0.000:0.000:-11.213","0.000:0.000:1.300",99.988,"Nominal",0.000,1,"NavigateToSource:Forward"
0.7102,8,3,7,1.4679,5.2158,5.2844,1.8557,180,5,"Human(Clone):4.18:-0.02:12.92|Human(Clone):10.51:-0.03:13.49|Charging Cabinet:23.09:0.67:-12.52|Human(Clone):8.39:0.04:9.46|Parcel_ATD-HLT-0001_Healthcare:24.81:1.02:-15.54",-0.0717,0.0607,0.0341,0.0182,1.5216,0.0431,0.0216,0.0408,0.9723,1.8381,4.5601,-8.1772,47.6268,1.4052,False,False,"Parcel_1","24.806:1.050:-15.504","P2","D3-Healthcare","ATD-HLT-0001","Healthcare","Rack_0_0","Rack_0_0-S01",3.000,3,False,False,True,False,True,True,"H1:10.500:0.000:13.500|H2:-4.200:0.000:-12.934|H3:-23.438:0.000:-14.938|H4:4.200:0.000:12.934|H5:8.400:0.000:9.434","H1:0.000:0.000:0.000|H2:0.000:0.000:0.800|H3:0.795:0.000:0.088|H4:0.000:0.000:-0.800|H5:0.000:0.000:-0.800","F1:-13.081:0.000:0.000|F2:0.000:0.000:-11.081","F1:1.300:0.000:0.000|F2:0.000:0.000:1.300","10.500:0.000:13.500","0.000:0.000:0.000","-4.200:0.000:-12.934","0.000:0.000:0.800","-23.438:0.000:-14.938","0.795:0.000:0.088","4.200:0.000:12.934","0.000:0.000:-0.800","8.400:0.000:9.434","0.000:0.000:-0.800","-13.081:0.000:0.000","1.300:0.000:0.000","0.000:0.000:-11.081","0.000:0.000:1.300",99.986,"Nominal",0.000,1,"NavigateToSource:Forward"
0.8121,8,3,8,1.4953,4.7096,7.6423,1.6365,180,4,"Human(Clone):10.53:0.00:13.50|Charging Cabinet:23.08:0.69:-12.59|Human(Clone):8.36:-0.01:9.42|Parcel_ATD-HLT-0001_Healthcare:24.78:1.05:-15.50",-0.0002,-0.0109,0.1121,0.0373,1.2028,-0.0167,0.0259,0.0365,1.1168,1.5720,4.6709,-8.0919,53.2492,1.3444,False,False,"Parcel_1","24.806:1.050:-15.504","P2","D3-Healthcare","ATD-HLT-0001","Healthcare","Rack_0_0","Rack_0_0-S01",3.000,3,False,False,True,False,True,True,"H1:10.500:0.000:13.500|H2:-4.200:0.000:-12.853|H3:-23.357:0.000:-14.929|H4:4.200:0.000:12.853|H5:8.400:0.000:9.353","H1:0.000:0.000:0.000|H2:0.000:0.000:0.800|H3:0.795:0.000:0.088|H4:0.000:0.000:-0.800|H5:0.000:0.000:-0.800","F1:-12.949:0.000:0.000|F2:0.000:0.000:-10.949","F1:1.300:0.000:0.000|F2:0.000:0.000:1.300","10.500:0.000:13.500","0.000:0.000:0.000","-4.200:0.000:-12.853","0.000:0.000:0.800","-23.357:0.000:-14.929","0.795:0.000:0.088","4.200:0.000:12.853","0.000:0.000:-0.800","8.400:0.000:9.353","0.000:0.000:-0.800","-12.949:0.000:0.000","1.300:0.000:0.000","0.000:0.000:-10.949","0.000:0.000:1.300",99.984,"Nominal",0.000,1,"NavigateToSource:Forward"
0.9145,8,3,9,1.4468,10.0000,10.0000,1.5084,180,3,"Human(Clone):10.48:0.01:13.53|Charging Cabinet:23.12:0.68:-12.52|Parcel_ATD-HLT-0001_Healthcare:24.81:1.09:-15.49",-0.1137,-0.0356,0.0266,-0.0028,0.9101,0.0048,0.0329,0.0429,1.6326,2.1267,4.8162,-7.9656,47.4085,1.8797,False,False,"Parcel_1","24.806:1.050:-15.504","P2","D3-Healthcare","ATD-HLT-0001","Healthcare","Rack_0_0","Rack_0_0-S01",3.000,3,False,False,True,False,True,True,"H1:10.500:0.000:13.500|H2:-4.200:0.000:-12.771|H3:-23.275:0.000:-14.920|H4:4.200:0.000:12.771|H5:8.400:0.000:9.271","H1:0.000:0.000:0.000|H2:0.000:0.000:0.800|H3:0.795:0.000:0.088|H4:0.000:0.000:-0.800|H5:0.000:0.000:-0.800","F1:-12.815:0.000:0.000|F2:0.000:0.000:-10.815","F1:1.300:0.000:0.000|F2:0.000:0.000:1.300","10.500:0.000:13.500","0.000:0.000:0.000","-4.200:0.000:-12.771","0.000:0.000:0.800","-23.275:0.000:-14.920","0.795:0.000:0.088","4.200:0.000:12.771","0.000:0.000:-0.800","8.400:0.000:9.271","0.000:0.000:-0.800","-12.815:0.000:0.000","1.300:0.000:0.000","0.000:0.000:-10.815","0.000:0.000:1.300",99.982,"Nominal",0.000,1,"NavigateToSource:Forward"
1.0157,8,3,10,1.3991,9.9726,10.0000,1.4503,180,2,"Charging Cabinet:23.08:0.66:-12.55|Parcel_ATD-HLT-0001_Healthcare:24.81:1.06:-15.51",-0.0553,-0.0807,-0.0657,0.0283,0.6555,-0.0168,0.0218,0.0556,0.9339,2.3791,4.9570,-7.8383,54.6325,1.6565,False,False,"Parcel_1","24.806:1.050:-15.504","P2","D3-Healthcare","ATD-HLT-0001","Healthcare","Rack_0_0","Rack_0_0-S01",3.000,3,False,False,True,False,True,True,"H1:10.500:0.000:13.500|H2:-4.200:0.000:-12.690|H3:-23.195:0.000:-14.911|H4:4.200:0.000:12.690|H5:8.400:0.000:9.190","H1:0.000:0.000:0.000|H2:0.000:0.000:0.800|H3:0.795:0.000:0.088|H4:0.000:0.000:-0.800|H5:0.000:0.000:-0.800","F1:-12.684:0.000:0.000|F2:0.000:0.000:-10.684","F1:1.300:0.000:0.000|F2:0.000:0.000:1.300","10.500:0.000:13.500","0.000:0.000:0.000","-4.200:0.000:-12.690","0.000:0.000:0.800","-23.195:0.000:-14.911","0.795:0.000:0.088","4.200:0.000:12.690","0.000:0.000:-0.800","8.400:0.000:9.190","0.000:0.000:-0.800","-12.684:0.000:0.000","1.300:0.000:0.000","0.000:0.000:-10.684","0.000:0.000:1.300",99.980,"Nominal",0.000,1,"NavigateToSource:Forward"
