timestamp,scenario_id,episode_id,step_id,lidar_min_distance,lidar_front_distance,lidar_left_distance,lidar_right_distance,lidar_measurement_count,camera_detection_count,camera_detected_objects,ax,ay,az,gx,gy,gz,left_wheel_distance,right_wheel_distance,left_wheel_velocity,right_wheel_velocity,estimated_x,estimated_y,estimated_yaw,estimated_velocity,missing_sensor_flag,sensor_dropout_flag,parcel_id,parcel_position,source_id,destination_id,parcel_mass,carrying_status,grasp_status,rack_available,PD1_available,PD2_available,PD3_available,human_positions,human_velocities,forklift_positions,forklift_velocities,h1_position,h1_velocity,h2_position,h2_velocity,h3_position,h3_velocity,h4_position,h4_velocity,h5_position,h5_velocity,f1_position,f1_velocity,f2_position,f2_velocity,battery_level,sensor_status,communication_delay,task_priority,current_task_stage
0.1003,9,9,1,5.8250,10.0000,5.9513,10.0000,180,0,"",0.0886,6.7879,-0.0495,-0.0270,1.4754,0.0044,1.3885,1.4303,16.1642,16.6508,-24.8530,-13.5983,5.9867,16.4075,False,True,"Parcel_1","6.650:1.150:-13.500","R3","PD3",3.000,False,False,True,True,True,True,"H1:-8.400:0.000:-9.922|H2:-4.200:0.000:-13.422|H3:-22.000:0.000:-5.922|H4:4.200:0.000:13.422|H5:8.400:0.000:9.922","H1:0.000:0.000:0.800|H2:0.000:0.000:0.800|H3:0.000:0.000:0.800|H4:0.000:0.000:-0.800|H5:0.000:0.000:-0.800","F1:0.000:0.000:-13.373|F2:20.000:0.000:-7.873","F1:0.000:0.000:1.300|F2:0.000:0.000:1.300","-8.400:0.000:-9.922","0.000:0.000:0.800","-4.200:0.000:-13.422","0.000:0.000:0.800","-22.000:0.000:-5.922","0.000:0.000:0.800","4.200:0.000:13.422","0.000:0.000:-0.800","8.400:0.000:9.922","0.000:0.000:-0.800","0.000:0.000:-13.373","0.000:0.000:1.300","20.000:0.000:-7.873","0.000:0.000:1.300",99.998,"Degraded",0.000,1,"NavigateToSource:Forward"
0.2022,9,9,2,5.9869,9.9378,6.2484,9.9495,180,0,"",7.8545,0.0795,-1.7957,-0.0138,1.5446,0.0332,0.0219,0.0295,1.0228,1.3779,-24.8206,-13.4688,18.8834,1.2004,False,True,"Parcel_1","6.650:1.150:-13.500","R3","PD3",3.000,False,False,True,True,True,True,"H1:-8.400:0.000:-9.840|H2:-4.200:0.000:-13.340|H3:-22.000:0.000:-5.840|H4:4.200:0.000:13.340|H5:8.400:0.000:9.840","H1:0.000:0.000:0.800|H2:0.000:0.000:0.800|H3:0.000:0.000:0.800|H4:0.000:0.000:-0.800|H5:0.000:0.000:-0.800","F1:0.000:0.000:-13.240|F2:20.000:0.000:-7.740","F1:0.000:0.000:1.300|F2:0.000:0.000:1.300","-8.400:0.000:-9.840","0.000:0.000:0.800","-4.200:0.000:-13.340","0.000:0.000:0.800","-22.000:0.000:-5.840","0.000:0.000:0.800","4.200:0.000:13.340","0.000:0.000:-0.800","8.400:0.000:9.840","0.000:0.000:-0.800","0.000:0.000:-13.240","0.000:0.000:1.300","20.000:0.000:-7.740","0.000:0.000:1.300",99.996,"Degraded",0.000,1,"NavigateToSource:Forward"
0.3037,9,9,3,6.1884,10.0000,6.9548,9.9411,180,0,"",-0.0365,0.0748,-0.0765,0.0246,1.5913,-0.0038,0.0202,0.0448,0.9234,2.0446,-24.7567,-13.3329,32.3149,1.4840,False,True,"Parcel_1","6.650:1.150:-13.500","R3","PD3",3.000,False,False,True,True,True,True,"H1:-8.400:0.000:-9.759|H2:-4.200:0.000:-13.259|H3:-22.000:0.000:-5.759|H4:4.200:0.000:13.259|H5:8.400:0.000:9.759","H1:0.000:0.000:0.800|H2:0.000:0.000:0.800|H3:0.000:0.000:0.800|H4:0.000:0.000:-0.800|H5:0.000:0.000:-0.800","F1:0.000:0.000:-13.109|F2:20.000:0.000:-7.609","F1:0.000:0.000:1.300|F2:0.000:0.000:1.300","-8.400:0.000:-9.759","0.000:0.000:0.800","-4.200:0.000:-13.259","0.000:0.000:0.800","-22.000:0.000:-5.759","0.000:0.000:0.800","4.200:0.000:13.259","0.000:0.000:-0.800","8.400:0.000:9.759","0.000:0.000:-0.800","0.000:0.000:-13.109","0.000:0.000:1.300","20.000:0.000:-7.609","0.000:0.000:1.300",99.994,"Degraded",0.000,1,"NavigateToSource:Forward"
0.4043,9,9,4,6.0745,10.0000,7.8455,10.0000,180,0,"",-0.0478,0.0560,-0.0044,0.0104,1.6058,-0.0063,0.0036,0.0332,0.1748,1.6333,-24.6474,-13.1934,46.0297,0.9040,False,True,"Parcel_1","6.650:1.150:-13.500","R3","PD3",3.000,False,False,True,True,True,True,"H1:-8.400:0.000:-9.679|H2:-4.200:0.000:-13.179|H3:-22.000:0.000:-5.679|H4:4.200:0.000:13.179|H5:8.400:0.000:9.679","H1:0.000:0.000:0.800|H2:0.000:0.000:0.800|H3:0.000:0.000:0.800|H4:0.000:0.000:-0.800|H5:0.000:0.000:-0.800","F1:0.000:0.000:-12.978|F2:20.000:0.000:-7.478","F1:0.000:0.000:1.300|F2:0.000:0.000:1.300","-8.400:0.000:-9.679","0.000:0.000:0.800","-4.200:0.000:-13.179","0.000:0.000:0.800","-22.000:0.000:-5.679","0.000:0.000:0.800","4.200:0.000:13.179","0.000:0.000:-0.800","8.400:0.000:9.679","0.000:0.000:-0.800","0.000:0.000:-12.978","0.000:0.000:1.300","20.000:0.000:-7.478","0.000:0.000:1.300",99.992,"Degraded",0.000,1,"NavigateToSource:Forward"
0.5059,9,9,5,5.8796,9.9141,9.3072,8.6742,180,0,"",0.0184,-0.0301,0.0718,0.0200,1.5740,0.0009,0.0283,0.0362,1.3343,1.7073,-24.5315,-13.1185,61.6603,1.5208,False,True,"Parcel_1","6.650:1.150:-13.500","R3","PD3",3.000,False,False,True,True,True,True,"H1:-8.400:0.000:-9.597|H2:-4.200:0.000:-13.097|H3:-22.000:0.000:-5.597|H4:4.200:0.000:13.097|H5:8.400:0.000:9.597","H1:0.000:0.000:0.800|H2:0.000:0.000:0.800|H3:0.000:0.000:0.800|H4:0.000:0.000:-0.800|H5:0.000:0.000:-0.800","F1:0.000:0.000:-12.846|F2:20.000:0.000:-7.346","F1:0.000:0.000:1.300|F2:0.000:0.000:1.300","-8.400:0.000:-9.597","0.000:0.000:0.800","-4.200:0.000:-13.097","0.000:0.000:0.800","-22.000:0.000:-5.597","0.000:0.000:0.800","4.200:0.000:13.097","0.000:0.000:-0.800","8.400:0.000:9.597","0.000:0.000:-0.800","0.000:0.000:-12.846","0.000:0.000:1.300","20.000:0.000:-7.346","0.000:0.000:1.300",99.990,"Degraded",0.000,1,"NavigateToSource:Forward"
0.6064,9,9,6,5.8728,9.9927,9.9336,7.5538,180,0,"",0.0196,0.0283,0.0452,0.0278,1.5560,-0.0232,0.0158,0.0204,0.7644,0.9888,-24.3937,-13.0607,72.2808,0.8766,False,True,"Parcel_1","6.650:1.150:-13.500","R3","PD3",3.000,False,False,True,True,True,True,"H1:-8.400:0.000:-9.517|H2:-4.200:0.000:-13.017|H3:-22.000:0.000:-5.517|H4:4.200:0.000:13.017|H5:8.400:0.000:9.517","H1:0.000:0.000:0.800|H2:0.000:0.000:0.800|H3:0.000:0.000:0.800|H4:0.000:0.000:-0.800|H5:0.000:0.000:-0.800","F1:0.000:0.000:-12.715|F2:20.000:0.000:-7.215","F1:0.000:0.000:1.300|F2:0.000:0.000:1.300","-8.400:0.000:-9.517","0.000:0.000:0.800","-4.200:0.000:-13.017","0.000:0.000:0.800","-22.000:0.000:-5.517","0.000:0.000:0.800","4.200:0.000:13.017","0.000:0.000:-0.800","8.400:0.000:9.517","0.000:0.000:-0.800","0.000:0.000:-12.715","0.000:0.000:1.300","20.000:0.000:-7.215","0.000:0.000:1.300",99.988,"Degraded",0.000,1,"NavigateToSource:Forward"
0.7089,9,9,7,5.7137,9.9631,9.9334,6.6926,180,0,"",0.0936,0.0651,-0.0818,-0.0046,1.6026,0.0302,0.0279,0.0417,1.3301,1.9851,-24.2415,-13.0230,79.5285,1.6576,False,True,"Parcel_1","6.650:1.150:-13.500","R3","PD3",3.000,False,False,True,True,True,True,"H1:-8.400:0.000:-9.435|H2:-4.200:0.000:-12.935|H3:-22.000:0.000:-5.435|H4:4.200:0.000:12.935|H5:8.400:0.000:9.435","H1:0.000:0.000:0.800|H2:0.000:0.000:0.800|H3:0.000:0.000:0.800|H4:0.000:0.000:-0.800|H5:0.000:0.000:-0.800","F1:0.000:0.000:-12.582|F2:20.000:0.000:-7.082","F1:0.000:0.000:1.300|F2:0.000:0.000:1.300","-8.400:0.000:-9.435","0.000:0.000:0.800","-4.200:0.000:-12.935","0.000:0.000:0.800","-22.000:0.000:-5.435","0.000:0.000:0.800","4.200:0.000:12.935","0.000:0.000:-0.800","8.400:0.000:9.435","0.000:0.000:-0.800","0.000:0.000:-12.582","0.000:0.000:1.300","20.000:0.000:-7.082","0.000:0.000:1.300",99.986,"Degraded",0.000,1,"NavigateToSource:Forward"
0.8107,9,9,8,5.6431,9.9414,10.0000,6.1281,180,0,"",0.0493,-0.0123,-0.0173,-0.0398,1.3887,-0.0271,0.0161,0.0485,0.7238,2.1846,-24.0653,-13.0115,92.2178,1.4542,False,True,"Parcel_1","6.650:1.150:-13.500","R3","PD3",3.000,False,False,True,True,True,True,"H1:-8.400:0.000:-9.354|H2:-4.200:0.000:-12.854|H3:-22.000:0.000:-5.354|H4:4.200:0.000:12.854|H5:8.400:0.000:9.354","H1:0.000:0.000:0.800|H2:0.000:0.000:0.800|H3:0.000:0.000:0.800|H4:0.000:0.000:-0.800|H5:0.000:0.000:-0.800","F1:0.000:0.000:-12.449|F2:20.000:0.000:-6.949","F1:0.000:0.000:1.300|F2:0.000:0.000:1.300","-8.400:0.000:-9.354","0.000:0.000:0.800","-4.200:0.000:-12.854","0.000:0.000:0.800","-22.000:0.000:-5.354","0.000:0.000:0.800","4.200:0.000:12.854","0.000:0.000:-0.800","8.400:0.000:9.354","0.000:0.000:-0.800","0.000:0.000:-12.449","0.000:0.000:1.300","20.000:0.000:-6.949","0.000:0.000:1.300",99.984,"Degraded",0.000,1,"NavigateToSource:Forward"
0.9111,9,9,9,5.5821,9.9965,9.9621,5.8593,180,0,"",-0.0673,0.0223,-0.0549,-0.0065,1.1124,0.0260,0.0262,0.0064,1.2788,0.3136,-23.9618,-13.0166,92.2423,0.7962,False,True,"Parcel_1","6.650:1.150:-13.500","R3","PD3",3.000,False,False,True,True,True,True,"H1:-8.400:0.000:-9.273|H2:-4.200:0.000:-12.773|H3:-22.000:0.000:-5.273|H4:4.200:0.000:12.773|H5:8.400:0.000:9.273","H1:0.000:0.000:0.800|H2:0.000:0.000:0.800|H3:0.000:0.000:0.800|H4:0.000:0.000:-0.800|H5:0.000:0.000:-0.800","F1:0.000:0.000:-12.319|F2:20.000:0.000:-6.819","F1:0.000:0.000:1.300|F2:0.000:0.000:1.300","-8.400:0.000:-9.273","0.000:0.000:0.800","-4.200:0.000:-12.773","0.000:0.000:0.800","-22.000:0.000:-5.273","0.000:0.000:0.800","4.200:0.000:12.773","0.000:0.000:-0.800","8.400:0.000:9.273","0.000:0.000:-0.800","0.000:0.000:-12.319","0.000:0.000:1.300","20.000:0.000:-6.819","0.000:0.000:1.300",99.982,"Degraded",0.000,1,"NavigateToSource:Forward"
1.0155,9,9,10,5.4381,10.0000,9.9934,5.5595,180,0,"",-0.0494,0.0007,-0.0117,-0.0053,0.8697,0.0138,0.0390,0.0359,1.8675,1.7180,-23.7644,-13.0404,95.3656,1.7928,False,True,"Parcel_1","6.650:1.150:-13.500","R3","PD3",3.000,False,False,True,True,True,True,"H1:-8.400:0.000:-9.190|H2:-4.200:0.000:-12.690|H3:-22.000:0.000:-5.190|H4:4.200:0.000:12.690|H5:8.400:0.000:9.190","H1:0.000:0.000:0.800|H2:0.000:0.000:0.800|H3:0.000:0.000:0.800|H4:0.000:0.000:-0.800|H5:0.000:0.000:-0.800","F1:0.000:0.000:-12.183|F2:20.000:0.000:-6.683","F1:0.000:0.000:1.300|F2:0.000:0.000:1.300","-8.400:0.000:-9.190","0.000:0.000:0.800","-4.200:0.000:-12.690","0.000:0.000:0.800","-22.000:0.000:-5.190","0.000:0.000:0.800","4.200:0.000:12.690","0.000:0.000:-0.800","8.400:0.000:9.190","0.000:0.000:-0.800","0.000:0.000:-12.183","0.000:0.000:1.300","20.000:0.000:-6.683","0.000:0.000:1.300",99.980,"Degraded",0.000,1,"NavigateToSource:Forward"
1.1163,9,9,11,5.4916,10.0000,9.0056,5.5954,180,0,"",0.1510,0.0195,0.0059,0.0091,0.6396,0.0051,0.0164,0.0597,0.7917,2.8813,-23.6011,-13.0606,102.7160,1.8365,False,True,"Parcel_1","6.650:1.150:-13.500","R3","PD3",3.000,False,False,True,True,True,True,"H1:-8.400:0.000:-9.109|H2:-4.200:0.000:-12.609|H3:-22.000:0.000:-5.109|H4:4.200:0.000:12.609|H5:8.400:0.000:9.109","H1:0.000:0.000:0.800|H2:0.000:0.000:0.800|H3:0.000:0.000:0.800|H4:0.000:0.000:-0.800|H5:0.000:0.000:-0.800","F1:0.000:0.000:-12.052|F2:20.000:0.000:-6.552","F1:0.000:0.000:1.300|F2:0.000:0.000:1.300","-8.400:0.000:-9.109","0.000:0.000:0.800","-4.200:0.000:-12.609","0.000:0.000:0.800","-22.000:0.000:-5.109","0.000:0.000:0.800","4.200:0.000:12.609","0.000:0.000:-0.800","8.400:0.000:9.109","0.000:0.000:-0.800","0.000:0.000:-12.052","0.000:0.000:1.300","20.000:0.000:-6.552","0.000:0.000:1.300",99.978,"Degraded",0.000,1,"NavigateToSource:Forward"
1.2179,9,9,12,5.4296,9.9381,9.0141,5.4413,180,0,"",-0.0436,0.0415,0.0645,0.0121,0.5592,-0.0179,0.0030,0.0337,0.1427,1.6021,-23.4430,-13.0917,105.3275,0.8724,False,True,"Parcel_1","6.650:1.150:-13.500","R3","PD3",3.000,False,False,True,True,True,True,"H1:-8.400:0.000:-9.028|H2:-4.200:0.000:-12.528|H3:-22.000:0.000:-5.028|H4:4.200:0.000:12.528|H5:8.400:0.000:9.028","H1:0.000:0.000:0.800|H2:0.000:0.000:0.800|H3:0.000:0.000:0.800|H4:0.000:0.000:-0.800|H5:0.000:0.000:-0.800","F1:0.000:0.000:-11.920|F2:20.000:0.000:-6.420","F1:0.000:0.000:1.300|F2:0.000:0.000:1.300","-8.400:0.000:-9.028","0.000:0.000:0.800","-4.200:0.000:-12.528","0.000:0.000:0.800","-22.000:0.000:-5.028","0.000:0.000:0.800","4.200:0.000:12.528","0.000:0.000:-0.800","8.400:0.000:9.028","0.000:0.000:-0.800","0.000:0.000:-11.920","0.000:0.000:1.300","20.000:0.000:-6.420","0.000:0.000:1.300",99.976,"Degraded",0.000,1,"NavigateToSource:Forward"
1.3189,9,9,13,5.2451,9.9914,10.0000,5.3325,180,0,"",-0.0348,-0.0351,0.0127,0.0155,0.3849,-0.0150,0.0129,0.0337,0.6111,1.6015,-23.2952,-13.1382,112.1822,1.1063,False,True,"Parcel_1","6.650:1.150:-13.500","R3","PD3",3.000,False,False,True,True,True,True,"H1:-8.400:0.000:-8.947|H2:-4.200:0.000:-12.447|H3:-22.000:0.000:-4.947|H4:4.200:0.000:12.447|H5:8.400:0.000:8.947","H1:0.000:0.000:0.800|H2:0.000:0.000:0.800|H3:0.000:0.000:0.800|H4:0.000:0.000:-0.800|H5:0.000:0.000:-0.800","F1:0.000:0.000:-11.789|F2:20.000:0.000:-6.289","F1:0.000:0.000:1.300|F2:0.000:0.000:1.300","-8.400:0.000:-8.947","0.000:0.000:0.800","-4.200:0.000:-12.447","0.000:0.000:0.800","-22.000:0.000:-4.947","0.000:0.000:0.800","4.200:0.000:12.447","0.000:0.000:-0.800","8.400:0.000:8.947","0.000:0.000:-0.800","0.000:0.000:-11.789","0.000:0.000:1.300","20.000:0.000:-6.289","0.000:0.000:1.300",99.974,"Degraded",0.000,1,"NavigateToSource:Forward"
1.4205,9,9,14,5.2980,10.0000,9.9853,5.3366,180,0,"",-0.1149,-0.0275,0.0595,0.0083,0.3032,0.0213,0.0255,0.0369,1.1555,1.6718,-23.1794,-13.1872,114.9804,1.4136,False,True,"Parcel_1","6.650:1.150:-13.500","R3","PD3",3.000,False,False,True,True,True,True,"H1:-8.400:0.000:-8.866|H2:-4.200:0.000:-12.366|H3:-22.000:0.000:-4.866|H4:4.200:0.000:12.366|H5:8.400:0.000:8.866","H1:0.000:0.000:0.800|H2:0.000:0.000:0.800|H3:0.000:0.000:0.800|H4:0.000:0.000:-0.800|H5:0.000:0.000:-0.800","F1:0.000:0.000:-11.657|F2:20.000:0.000:-6.157","F1:0.000:0.000:1.300|F2:0.000:0.000:1.300","-8.400:0.000:-8.866","0.000:0.000:0.800","-4.200:0.000:-12.366","0.000:0.000:0.800","-22.000:0.000:-4.866","0.000:0.000:0.800","4.200:0.000:12.366","0.000:0.000:-0.800","8.400:0.000:8.866","0.000:0.000:-0.800","0.000:0.000:-11.657","0.000:0.000:1.300","20.000:0.000:-6.157","0.000:0.000:1.300",99.972,"Degraded",0.000,1,"NavigateToSource:Forward"
1.5214,9,9,15,5.2735,10.0000,10.0000,5.3332,180,0,"",-0.0446,0.0122,0.0156,-0.0015,0.2357,0.0140,0.0319,0.0457,1.4618,2.0948,-23.0341,-13.2748,121.3266,1.7783,False,True,"Parcel_1","6.650:1.150:-13.500","R3","PD3",3.000,False,False,True,True,True,True,"H1:-8.400:0.000:-8.785|H2:-4.200:0.000:-12.285|H3:-22.000:0.000:-4.785|H4:4.200:0.000:12.285|H5:8.400:0.000:8.785","H1:0.000:0.000:0.800|H2:0.000:0.000:0.800|H3:0.000:0.000:0.800|H4:0.000:0.000:-0.800|H5:0.000:0.000:-0.800","F1:0.000:0.000:-11.526|F2:20.000:0.000:-6.026","F1:0.000:0.000:1.300|F2:0.000:0.000:1.300","-8.400:0.000:-8.785","0.000:0.000:0.800","-4.200:0.000:-12.285","0.000:0.000:0.800","-22.000:0.000:-4.785","0.000:0.000:0.800","4.200:0.000:12.285","0.000:0.000:-0.800","8.400:0.000:8.785","0.000:0.000:-0.800","0.000:0.000:-11.526","0.000:0.000:1.300","20.000:0.000:-6.026","0.000:0.000:1.300",99.970,"Degraded",0.000,1,"NavigateToSource:Forward"
1.6240,9,9,16,5.1676,9.9902,9.9614,5.4741,180,0,"",-0.0323,-0.0239,0.0459,-0.0018,0.1903,-0.0077,0.0218,0.0319,1.0893,1.5914,-22.9105,-13.3557,125.1103,1.3404,False,True,"Parcel_1","6.650:1.150:-13.500","R3","PD3",3.000,False,False,True,True,True,True,"H1:-8.400:0.000:-8.703|H2:-4.200:0.000:-12.203|H3:-22.000:0.000:-4.703|H4:4.200:0.000:12.203|H5:8.400:0.000:8.703","H1:0.000:0.000:0.800|H2:0.000:0.000:0.800|H3:0.000:0.000:0.800|H4:0.000:0.000:-0.800|H5:0.000:0.000:-0.800","F1:0.000:0.000:-11.392|F2:20.000:0.000:-5.892","F1:0.000:0.000:1.300|F2:0.000:0.000:1.300","-8.400:0.000:-8.703","0.000:0.000:0.800","-4.200:0.000:-12.203","0.000:0.000:0.800","-22.000:0.000:-4.703","0.000:0.000:0.800","4.200:0.000:12.203","0.000:0.000:-0.800","8.400:0.000:8.703","0.000:0.000:-0.800","0.000:0.000:-11.392","0.000:0.000:1.300","20.000:0.000:-5.892","0.000:0.000:1.300",99.968,"Degraded",0.000,1,"NavigateToSource:Forward"
1.7252,9,9,17,5.1847,10.0000,9.9433,5.3316,180,0,"",0.0381,0.0659,-0.0419,-0.0018,0.1417,0.0102,0.0321,0.0407,1.4363,1.8232,-22.7863,-13.4644,132.2785,1.6298,False,True,"Parcel_1","6.650:1.150:-13.500","R3","PD3",3.000,False,False,True,True,True,True,"H1:-8.400:0.000:-8.622|H2:-4.200:0.000:-12.122|H3:-22.000:0.000:-4.622|H4:4.200:0.000:12.122|H5:8.400:0.000:8.622","H1:0.000:0.000:0.800|H2:0.000:0.000:0.800|H3:0.000:0.000:0.800|H4:0.000:0.000:-0.800|H5:0.000:0.000:-0.800","F1:0.000:0.000:-11.261|F2:20.000:0.000:-5.761","F1:0.000:0.000:1.300|F2:0.000:0.000:1.300","-8.400:0.000:-8.622","0.000:0.000:0.800","-4.200:0.000:-12.122","0.000:0.000:0.800","-22.000:0.000:-4.622","0.000:0.000:0.800","4.200:0.000:12.122","0.000:0.000:-0.800","8.400:0.000:8.622","0.000:0.000:-0.800","0.000:0.000:-11.261","0.000:0.000:1.300","20.000:0.000:-5.761","0.000:0.000:1.300",99.966,"Degraded",0.000,1,"NavigateToSource:Forward"
1.8280,9,9,18,5.1329,10.0000,9.9926,5.1686,180,0,"",0.0256,0.0410,0.0231,0.0102,0.0889,-0.0441,0.0328,0.0211,1.5148,0.9749,-22.6890,-13.5532,130.8514,1.2449,False,True,"Parcel_1","6.650:1.150:-13.500","R3","PD3",3.000,False,False,True,True,True,True,"H1:-8.400:0.000:-8.540|H2:-4.200:0.000:-12.040|H3:-22.000:0.000:-4.540|H4:4.200:0.000:12.040|H5:8.400:0.000:8.540","H1:0.000:0.000:0.800|H2:0.000:0.000:0.800|H3:0.000:0.000:0.800|H4:0.000:0.000:-0.800|H5:0.000:0.000:-0.800","F1:0.000:0.000:-11.127|F2:20.000:0.000:-5.627","F1:0.000:0.000:1.300|F2:0.000:0.000:1.300","-8.400:0.000:-8.540","0.000:0.000:0.800","-4.200:0.000:-12.040","0.000:0.000:0.800","-22.000:0.000:-4.540","0.000:0.000:0.800","4.200:0.000:12.040","0.000:0.000:-0.800","8.400:0.000:8.540","0.000:0.000:-0.800","0.000:0.000:-11.127","0.000:0.000:1.300","20.000:0.000:-5.627","0.000:0.000:1.300",99.963,"Degraded",0.000,1,"NavigateToSource:Forward"
1.9282,9,9,19,4.9994,10.0000,10.0000,5.2681,180,0,"",-0.0007,0.0121,0.0262,-0.0182,0.0831,-0.0027,0.0407,0.0331,1.8986,1.5451,-22.5687,-13.6600,131.4763,1.7219,False,True,"Parcel_1","6.650:1.150:-13.500","R3","PD3",3.000,False,False,True,True,True,True,"H1:-8.400:0.000:-8.460|H2:-4.200:0.000:-11.960|H3:-22.000:0.000:-4.460|H4:4.200:0.000:11.960|H5:8.400:0.000:8.460","H1:0.000:0.000:0.800|H2:0.000:0.000:0.800|H3:0.000:0.000:0.800|H4:0.000:0.000:-0.800|H5:0.000:0.000:-0.800","F1:0.000:0.000:-10.997|F2:20.000:0.000:-5.497","F1:0.000:0.000:1.300|F2:0.000:0.000:1.300","-8.400:0.000:-8.460","0.000:0.000:0.800","-4.200:0.000:-11.960","0.000:0.000:0.800","-22.000:0.000:-4.460","0.000:0.000:0.800","4.200:0.000:11.960","0.000:0.000:-0.800","8.400:0.000:8.460","0.000:0.000:-0.800","0.000:0.000:-10.997","0.000:0.000:1.300","20.000:0.000:-5.497","0.000:0.000:1.300",99.961,"Degraded",0.000,1,"NavigateToSource:Forward"
2.0303,9,9,20,4.9695,9.9376,9.9208,5.2393,180,0,"",0.1279,0.0670,0.1147,0.0224,0.0554,-0.0345,0.0353,0.0366,1.5425,1.5990,-22.4471,-13.7630,131.0207,1.5708,False,True,"Parcel_1","6.650:1.150:-13.500","R3","PD3",3.000,False,False,True,True,True,True,"H1:-8.400:0.000:-8.378|H2:-4.200:0.000:-11.878|H3:-22.000:0.000:-4.378|H4:4.200:0.000:11.878|H5:8.400:0.000:8.378","H1:0.000:0.000:0.800|H2:0.000:0.000:0.800|H3:0.000:0.000:0.800|H4:0.000:0.000:-0.800|H5:0.000:0.000:-0.800","F1:0.000:0.000:-10.864|F2:20.000:0.000:-5.364","F1:0.000:0.000:1.300|F2:0.000:0.000:1.300","-8.400:0.000:-8.378","0.000:0.000:0.800","-4.200:0.000:-11.878","0.000:0.000:0.800","-22.000:0.000:-4.378","0.000:0.000:0.800","4.200:0.000:11.878","0.000:0.000:-0.800","8.400:0.000:8.378","0.000:0.000:-0.800","0.000:0.000:-10.864","0.000:0.000:1.300","20.000:0.000:-5.364","0.000:0.000:1.300",99.959,"Degraded",0.000,1,"NavigateToSource:Forward"
2.1313,9,9,21,5.0436,9.9862,9.9649,5.1929,180,0,"",0.0876,0.0422,0.0023,0.0069,0.0787,-0.0080,0.0529,0.0100,2.3455,0.4414,-22.3508,-13.8452,125.3165,1.3934,False,True,"Parcel_1","6.650:1.150:-13.500","R3","PD3",3.000,False,False,True,True,True,True,"H1:-8.400:0.000:-8.297|H2:-4.200:0.000:-11.797|H3:-22.000:0.000:-4.297|H4:4.200:0.000:11.797|H5:8.400:0.000:8.297","H1:0.000:0.000:0.800|H2:0.000:0.000:0.800|H3:0.000:0.000:0.800|H4:0.000:0.000:-0.800|H5:0.000:0.000:-0.800","F1:0.000:0.000:-10.733|F2:20.000:0.000:-5.233","F1:0.000:0.000:1.300|F2:0.000:0.000:1.300","-8.400:0.000:-8.297","0.000:0.000:0.800","-4.200:0.000:-11.797","0.000:0.000:0.800","-22.000:0.000:-4.297","0.000:0.000:0.800","4.200:0.000:11.797","0.000:0.000:-0.800","8.400:0.000:8.297","0.000:0.000:-0.800","0.000:0.000:-10.733","0.000:0.000:1.300","20.000:0.000:-5.233","0.000:0.000:1.300",99.957,"Degraded",0.000,1,"NavigateToSource:Forward"
2.2316,9,9,22,4.9604,9.9810,10.0000,5.1253,180,0,"",0.0005,-0.1475,-0.0868,0.0309,0.0181,-0.0003,0.0268,0.0266,1.3266,1.3182,-22.2053,-13.9461,126.9372,1.3224,False,True,"Parcel_1","6.650:1.150:-13.500","R3","PD3",3.000,False,False,True,True,True,True,"H1:-8.400:0.000:-8.217|H2:-4.200:0.000:-11.717|H3:-22.000:0.000:-4.217|H4:4.200:0.000:11.717|H5:8.400:0.000:8.217","H1:0.000:0.000:0.800|H2:0.000:0.000:0.800|H3:0.000:0.000:0.800|H4:0.000:0.000:-0.800|H5:0.000:0.000:-0.800","F1:0.000:0.000:-10.602|F2:20.000:0.000:-5.102","F1:0.000:0.000:1.300|F2:0.000:0.000:1.300","-8.400:0.000:-8.217","0.000:0.000:0.800","-4.200:0.000:-11.717","0.000:0.000:0.800","-22.000:0.000:-4.217","0.000:0.000:0.800","4.200:0.000:11.717","0.000:0.000:-0.800","8.400:0.000:8.217","0.000:0.000:-0.800","0.000:0.000:-10.602","0.000:0.000:1.300","20.000:0.000:-5.102","0.000:0.000:1.300",99.955,"Degraded",0.000,1,"NavigateToSource:Forward"
2.3324,9,9,23,4.9346,9.8832,10.0000,5.1765,180,0,"",-0.0325,-0.0937,-0.0327,0.0045,0.0262,0.0007,0.0239,0.0258,1.1584,1.2533,-22.0974,-14.0392,135.2564,1.2059,False,True,"Parcel_1","6.650:1.150:-13.500","R3","PD3",3.000,False,False,True,True,True,True,"H1:-8.400:0.000:-8.136|H2:-4.200:0.000:-11.636|H3:-22.000:0.000:-4.136|H4:4.200:0.000:11.636|H5:8.400:0.000:8.136","H1:0.000:0.000:0.800|H2:0.000:0.000:0.800|H3:0.000:0.000:0.800|H4:0.000:0.000:-0.800|H5:0.000:0.000:-0.800","F1:0.000:0.000:-10.471|F2:20.000:0.000:-4.971","F1:0.000:0.000:1.300|F2:0.000:0.000:1.300","-8.400:0.000:-8.136","0.000:0.000:0.800","-4.200:0.000:-11.636","0.000:0.000:0.800","-22.000:0.000:-4.136","0.000:0.000:0.800","4.200:0.000:11.636","0.000:0.000:-0.800","8.400:0.000:8.136","0.000:0.000:-0.800","0.000:0.000:-10.471","0.000:0.000:1.300","20.000:0.000:-4.971","0.000:0.000:1.300",99.953,"Degraded",0.000,1,"NavigateToSource:Forward"
