timestamp,scenario_id,episode_id,step_id,lidar_min_distance,lidar_front_distance,lidar_left_distance,lidar_right_distance,lidar_measurement_count,camera_detection_count,camera_detected_objects,ax,ay,az,gx,gy,gz,left_wheel_distance,right_wheel_distance,left_wheel_velocity,right_wheel_velocity,estimated_x,estimated_y,estimated_yaw,estimated_velocity,missing_sensor_flag,sensor_dropout_flag,parcel_id,parcel_position,source_id,destination_id,parcel_mass,carrying_status,grasp_status,rack_available,PD1_available,PD2_available,PD3_available,human_positions,human_velocities,forklift_positions,forklift_velocities,h1_position,h1_velocity,h2_position,h2_velocity,h3_position,h3_velocity,h4_position,h4_velocity,h5_position,h5_velocity,f1_position,f1_velocity,f2_position,f2_velocity,battery_level,sensor_status,communication_delay,task_priority,current_task_stage
65.2993,9,9,643,1.0913,4.8549,1.8915,1.1772,180,0,"",-0.0009,0.0731,-0.0324,0.0172,-0.0026,0.0051,0.0519,0.0323,2.4147,1.5014,10.8254,-48.3752,-47.1045,1.9581,False,True,"Parcel_2","-10.150:1.150:-13.500","R1","PD1",3.000,False,False,True,True,False,True,"H1:-8.400:0.000:-9.815|H2:-4.200:0.000:-12.030|H3:-22.000:0.000:-0.580|H4:4.200:0.000:-3.329|H5:8.400:0.000:5.128","H1:0.000:0.000:0.800|H2:0.000:0.000:-0.800|H3:0.000:0.000:0.800|H4:0.000:0.000:-0.800|H5:0.000:0.000:0.800","F1:0.000:0.000:8.742|F2:20.000:0.000:1.657","F1:0.000:0.000:-1.300|F2:0.000:0.000:-1.300","-8.400:0.000:-9.815","0.000:0.000:0.800","-4.200:0.000:-12.030","0.000:0.000:-0.800","-22.000:0.000:-0.580","0.000:0.000:0.800","4.200:0.000:-3.329","0.000:0.000:-0.800","8.400:0.000:5.128","0.000:0.000:0.800","0.000:0.000:8.742","0.000:0.000:-1.300","20.000:0.000:1.657","0.000:0.000:-1.300",98.191,"Degraded",0.000,1,"NavigateToSource:Forward"
65.3998,9,9,644,1.0394,4.7433,2.0023,1.1973,180,0,"",-0.0431,-0.0135,0.0054,-0.0306,0.0254,-0.0012,0.0237,0.0475,1.1156,2.2321,10.7035,-48.2691,-47.2940,1.6739,False,True,"Parcel_2","-10.150:1.150:-13.500","R1","PD1",3.000,False,False,True,True,False,True,"H1:-8.400:0.000:-9.734|H2:-4.200:0.000:-12.111|H3:-22.000:0.000:-0.500|H4:4.200:0.000:-3.409|H5:8.400:0.000:5.208","H1:0.000:0.000:0.800|H2:0.000:0.000:-0.800|H3:0.000:0.000:0.800|H4:0.000:0.000:-0.800|H5:0.000:0.000:0.800","F1:0.000:0.000:8.611|F2:20.000:0.000:1.527","F1:0.000:0.000:-1.300|F2:0.000:0.000:-1.300","-8.400:0.000:-9.734","0.000:0.000:0.800","-4.200:0.000:-12.111","0.000:0.000:-0.800","-22.000:0.000:-0.500","0.000:0.000:0.800","4.200:0.000:-3.409","0.000:0.000:-0.800","8.400:0.000:5.208","0.000:0.000:0.800","0.000:0.000:8.611","0.000:0.000:-1.300","20.000:0.000:1.527","0.000:0.000:-1.300",98.189,"Degraded",0.000,1,"NavigateToSource:Forward"
65.5003,9,9,645,0.9229,4.4197,1.9036,1.1410,180,0,"",0.0369,-0.0692,0.0752,0.0287,-0.0025,-0.0342,0.0298,0.0481,1.3984,2.2575,10.6064,-48.1801,-45.5200,1.8279,False,True,"Parcel_2","-10.150:1.150:-13.500","R1","PD1",3.000,False,False,True,True,False,True,"H1:-8.400:0.000:-9.654|H2:-4.200:0.000:-12.191|H3:-22.000:0.000:-0.419|H4:4.200:0.000:-3.490|H5:8.400:0.000:5.289","H1:0.000:0.000:0.800|H2:0.000:0.000:-0.800|H3:0.000:0.000:0.800|H4:0.000:0.000:-0.800|H5:0.000:0.000:0.800","F1:0.000:0.000:8.480|F2:20.000:0.000:1.396","F1:0.000:0.000:-1.300|F2:0.000:0.000:-1.300","-8.400:0.000:-9.654","0.000:0.000:0.800","-4.200:0.000:-12.191","0.000:0.000:-0.800","-22.000:0.000:-0.419","0.000:0.000:0.800","4.200:0.000:-3.490","0.000:0.000:-0.800","8.400:0.000:5.289","0.000:0.000:0.800","0.000:0.000:8.480","0.000:0.000:-1.300","20.000:0.000:1.396","0.000:0.000:-1.300",98.187,"Degraded",0.000,1,"NavigateToSource:Forward"
65.6016,9,9,646,0.8855,4.4205,2.0390,1.1485,180,0,"",-0.0440,0.0834,0.0839,0.0077,-0.0686,-0.0219,0.0193,0.0420,0.8898,1.9413,10.5003,-48.0596,-34.0367,1.4156,False,True,"Parcel_2","-10.150:1.150:-13.500","R1","PD1",3.000,False,False,True,True,False,True,"H1:-8.400:0.000:-9.573|H2:-4.200:0.000:-12.272|H3:-22.000:0.000:-0.338|H4:4.200:0.000:-3.571|H5:8.400:0.000:5.370","H1:0.000:0.000:0.800|H2:0.000:0.000:-0.800|H3:0.000:0.000:0.800|H4:0.000:0.000:-0.800|H5:0.000:0.000:0.800","F1:0.000:0.000:8.349|F2:20.000:0.000:1.264","F1:0.000:0.000:-1.300|F2:0.000:0.000:-1.300","-8.400:0.000:-9.573","0.000:0.000:0.800","-4.200:0.000:-12.272","0.000:0.000:-0.800","-22.000:0.000:-0.338","0.000:0.000:0.800","4.200:0.000:-3.571","0.000:0.000:-0.800","8.400:0.000:5.370","0.000:0.000:0.800","0.000:0.000:8.349","0.000:0.000:-1.300","20.000:0.000:1.264","0.000:0.000:-1.300",98.185,"Degraded",0.000,1,"NavigateToSource:Forward"
65.7017,9,9,647,0.7285,4.2580,2.0278,1.0281,180,0,"",0.0264,-0.0262,0.0321,-0.0152,0.0184,-0.0153,0.0403,0.0418,1.7847,1.8505,10.4101,-47.8993,-30.9129,1.8176,False,True,"Parcel_2","-10.150:1.150:-13.500","R1","PD1",3.000,False,False,True,True,False,True,"H1:-8.400:0.000:-9.493|H2:-4.200:0.000:-12.352|H3:-22.000:0.000:-0.258|H4:4.200:0.000:-3.651|H5:8.400:0.000:5.450","H1:0.000:0.000:0.800|H2:0.000:0.000:-0.800|H3:0.000:0.000:0.800|H4:0.000:0.000:-0.800|H5:0.000:0.000:0.800","F1:0.000:0.000:8.219|F2:20.000:0.000:1.134","F1:0.000:0.000:-1.300|F2:0.000:0.000:-1.300","-8.400:0.000:-9.493","0.000:0.000:0.800","-4.200:0.000:-12.352","0.000:0.000:-0.800","-22.000:0.000:-0.258","0.000:0.000:0.800","4.200:0.000:-3.651","0.000:0.000:-0.800","8.400:0.000:5.450","0.000:0.000:0.800","0.000:0.000:8.219","0.000:0.000:-1.300","20.000:0.000:1.134","0.000:0.000:-1.300",98.183,"Degraded",0.000,1,"NavigateToSource:Forward"
65.8048,9,9,648,0.8724,4.0293,2.0651,1.0286,180,0,"",-0.0213,-0.0356,0.0382,-0.0149,0.0022,-0.0080,0.0354,0.0353,1.5455,1.5428,10.3283,-47.7727,-33.2754,1.5441,False,True,"Parcel_2","-10.150:1.150:-13.500","R1","PD1",3.000,False,False,True,True,False,True,"H1:-8.400:0.000:-9.410|H2:-4.200:0.000:-12.435|H3:-22.000:0.000:-0.176|H4:4.200:0.000:-3.733|H5:8.400:0.000:5.532","H1:0.000:0.000:0.800|H2:0.000:0.000:-0.800|H3:0.000:0.000:0.800|H4:0.000:0.000:-0.800|H5:0.000:0.000:0.800","F1:0.000:0.000:8.085|F2:20.000:0.000:1.000","F1:0.000:0.000:-1.300|F2:0.000:0.000:-1.300","-8.400:0.000:-9.410","0.000:0.000:0.800","-4.200:0.000:-12.435","0.000:0.000:-0.800","-22.000:0.000:-0.176","0.000:0.000:0.800","4.200:0.000:-3.733","0.000:0.000:-0.800","8.400:0.000:5.532","0.000:0.000:0.800","0.000:0.000:8.085","0.000:0.000:-1.300","20.000:0.000:1.000","0.000:0.000:-1.300",98.181,"Degraded",0.000,1,"NavigateToSource:Forward"
65.9078,9,9,649,0.8632,3.9273,2.1892,0.9034,180,0,"",-0.0293,-0.0305,0.0421,0.0104,-0.0234,0.0163,0.0225,0.0195,0.9907,0.8582,10.2283,-47.6419,-38.1283,0.9245,False,True,"Parcel_2","-10.150:1.150:-13.500","R1","PD1",3.000,False,False,True,True,False,True,"H1:-8.400:0.000:-9.328|H2:-4.200:0.000:-12.517|H3:-22.000:0.000:-0.093|H4:4.200:0.000:-3.816|H5:8.400:0.000:5.615","H1:0.000:0.000:0.800|H2:0.000:0.000:-0.800|H3:0.000:0.000:0.800|H4:0.000:0.000:-0.800|H5:0.000:0.000:0.800","F1:0.000:0.000:7.951|F2:20.000:0.000:0.866","F1:0.000:0.000:-1.300|F2:0.000:0.000:-1.300","-8.400:0.000:-9.328","0.000:0.000:0.800","-4.200:0.000:-12.517","0.000:0.000:-0.800","-22.000:0.000:-0.093","0.000:0.000:0.800","4.200:0.000:-3.816","0.000:0.000:-0.800","8.400:0.000:5.615","0.000:0.000:0.800","0.000:0.000:7.951","0.000:0.000:-1.300","20.000:0.000:0.866","0.000:0.000:-1.300",98.179,"Degraded",0.000,1,"NavigateToSource:Forward"
66.0098,9,9,650,0.8176,3.6835,2.1503,0.9136,180,0,"",0.0967,-0.0856,0.1057,-0.0279,0.0363,0.0036,0.0354,0.0419,1.6511,1.9517,10.1377,-47.5255,-36.5613,1.8014,False,True,"Parcel_2","-10.150:1.150:-13.500","R1","PD1",3.000,False,False,True,True,False,True,"H1:-8.400:0.000:-9.246|H2:-4.200:0.000:-12.599|H3:-22.000:0.000:-0.012|H4:4.200:0.000:-3.897|H5:8.400:0.000:5.696","H1:0.000:0.000:0.800|H2:0.000:0.000:-0.800|H3:0.000:0.000:0.800|H4:0.000:0.000:-0.800|H5:0.000:0.000:0.800","F1:0.000:0.000:7.818|F2:20.000:0.000:0.734","F1:0.000:0.000:-1.300|F2:0.000:0.000:-1.300","-8.400:0.000:-9.246","0.000:0.000:0.800","-4.200:0.000:-12.599","0.000:0.000:-0.800","-22.000:0.000:-0.012","0.000:0.000:0.800","4.200:0.000:-3.897","0.000:0.000:-0.800","8.400:0.000:5.696","0.000:0.000:0.800","0.000:0.000:7.818","0.000:0.000:-1.300","20.000:0.000:0.734","0.000:0.000:-1.300",98.177,"Degraded",0.000,1,"NavigateToSource:Forward"
66.1120,9,9,651,0.7015,3.5994,10.0000,0.8829,180,0,"",0.1144,-0.0411,0.0435,-0.0172,-0.0152,-0.0359,0.0486,0.0140,2.2033,0.6328,10.0557,-47.4179,-41.7255,1.4180,False,True,"Parcel_2","-10.150:1.150:-13.500","R1","PD1",3.000,False,False,True,True,False,True,"H1:-8.400:0.000:-9.164|H2:-4.200:0.000:-12.680|H3:-22.000:0.000:0.070|H4:4.200:0.000:-3.979|H5:8.400:0.000:5.778","H1:0.000:0.000:0.800|H2:0.000:0.000:-0.800|H3:0.000:0.000:0.800|H4:0.000:0.000:-0.800|H5:0.000:0.000:0.800","F1:0.000:0.000:7.685|F2:20.000:0.000:0.601","F1:0.000:0.000:-1.300|F2:0.000:0.000:-1.300","-8.400:0.000:-9.164","0.000:0.000:0.800","-4.200:0.000:-12.680","0.000:0.000:-0.800","-22.000:0.000:0.070","0.000:0.000:0.800","4.200:0.000:-3.979","0.000:0.000:-0.800","8.400:0.000:5.778","0.000:0.000:0.800","0.000:0.000:7.685","0.000:0.000:-1.300","20.000:0.000:0.601","0.000:0.000:-1.300",98.175,"Degraded",0.000,1,"NavigateToSource:Forward"
66.2150,9,9,652,0.6338,3.4665,10.0000,0.8371,180,0,"",-0.1103,-0.1356,-0.1190,-0.0369,0.0123,-0.0196,0.0347,0.0352,1.6078,1.6301,9.9672,-47.3209,-42.7199,1.6190,False,True,"Parcel_2","-10.150:1.150:-13.500","R1","PD1",3.000,False,False,True,True,False,True,"H1:-8.400:0.000:-9.082|H2:-4.200:0.000:-12.763|H3:-22.000:0.000:0.152|H4:4.200:0.000:-4.061|H5:8.400:0.000:5.860","H1:0.000:0.000:0.800|H2:0.000:0.000:-0.800|H3:0.000:0.000:0.800|H4:0.000:0.000:-0.800|H5:0.000:0.000:0.800","F1:0.000:0.000:7.551|F2:20.000:0.000:0.467","F1:0.000:0.000:-1.300|F2:0.000:0.000:-1.300","-8.400:0.000:-9.082","0.000:0.000:0.800","-4.200:0.000:-12.763","0.000:0.000:-0.800","-22.000:0.000:0.152","0.000:0.000:0.800","4.200:0.000:-4.061","0.000:0.000:-0.800","8.400:0.000:5.860","0.000:0.000:0.800","0.000:0.000:7.551","0.000:0.000:-1.300","20.000:0.000:0.467","0.000:0.000:-1.300",98.172,"Degraded",0.000,1,"NavigateToSource:Forward"
