timestamp,scenario_id,episode_id,step_id,lidar_min_distance,lidar_front_distance,lidar_left_distance,lidar_right_distance,lidar_measurement_count,camera_detection_count,camera_detected_objects,ax,ay,az,gx,gy,gz,left_wheel_distance,right_wheel_distance,left_wheel_velocity,right_wheel_velocity,estimated_x,estimated_y,estimated_yaw,estimated_velocity,missing_sensor_flag,sensor_dropout_flag,parcel_id,parcel_position,source_id,destination_id,barcode_id,parcel_category,destination_rack_id,destination_slot_id,parcel_mass,empty_slot_count,carrying_status,grasp_status,rack_available,PD1_available,PD2_available,PD3_available,human_positions,human_velocities,forklift_positions,forklift_velocities,h1_position,h1_velocity,h2_position,h2_velocity,h3_position,h3_velocity,h4_position,h4_velocity,h5_position,h5_velocity,f1_position,f1_velocity,f2_position,f2_velocity,battery_level,sensor_status,communication_delay,task_priority,current_task_stage
0.1032,9,4,1,1.9016,9.9738,10.0000,7.9692,180,2,"Forklift(Clone):-10.54:0.00:13.48|Human(Clone):4.20:-0.04:13.51",-7.6288,0.0034,0.6486,-0.0057,-1.5705,-0.0165,0.0150,0.0083,0.6446,0.3566,-0.0088,9.0725,-9.9900,0.5006,False,False,"Parcel_1","-24.806:1.050:15.504","P3","D1-Electronics","ATD-ELC-0001","Electronics","Rack_0_3","Rack_0_3-S01",3.000,3,False,False,True,True,False,True,"H1:10.500:0.000:13.500|H2:-4.200:0.000:-13.420|H3:23.920:0.000:-14.997|H4:4.200:0.000:13.420|H5:8.400:0.000:9.920","H1:0.000:0.000:0.000|H2:0.000:0.000:0.800|H3:-0.799:0.000:0.035|H4:0.000:0.000:-0.800|H5:0.000:0.000:-0.800","F1:-10.500:0.000:13.500|F2:20.000:0.000:-7.870","F1:0.000:0.000:0.000|F2:0.000:0.000:1.300","10.500:0.000:13.500","0.000:0.000:0.000","-4.200:0.000:-13.420","0.000:0.000:0.800","23.920:0.000:-14.997","-0.799:0.000:0.035","4.200:0.000:13.420","0.000:0.000:-0.800","8.400:0.000:9.920","0.000:0.000:-0.800","-10.500:0.000:13.500","0.000:0.000:0.000","20.000:0.000:-7.870","0.000:0.000:1.300",99.998,"Nominal",0.000,1,"NavigateToSource:Forward"
0.2051,9,4,2,1.7832,5.7294,9.9920,6.0404,180,3,"Forklift(Clone):-10.52:-0.02:13.47|Human(Clone):4.18:-0.04:13.36|Parcel_ATD-ELC-0001_Electronics:-24.81:1.02:15.50",-8.3653,-0.0805,0.6848,-0.0383,-1.5763,0.0123,0.0356,0.0235,1.7339,1.1431,-0.0429,9.1717,-22.5828,1.4385,False,False,"Parcel_1","-24.806:1.050:15.504","P3","D1-Electronics","ATD-ELC-0001","Electronics","Rack_0_3","Rack_0_3-S01",3.000,3,False,False,True,True,False,True,"H1:10.500:0.000:13.500|H2:-4.200:0.000:-13.339|H3:23.839:0.000:-14.993|H4:4.200:0.000:13.339|H5:8.400:0.000:9.839","H1:0.000:0.000:0.000|H2:0.000:0.000:0.800|H3:-0.799:0.000:0.035|H4:0.000:0.000:-0.800|H5:0.000:0.000:-0.800","F1:-10.500:0.000:13.500|F2:20.000:0.000:-7.738","F1:0.000:0.000:0.000|F2:0.000:0.000:1.300","10.500:0.000:13.500","0.000:0.000:0.000","-4.200:0.000:-13.339","0.000:0.000:0.800","23.839:0.000:-14.993","-0.799:0.000:0.035","4.200:0.000:13.339","0.000:0.000:-0.800","8.400:0.000:9.839","0.000:0.000:-0.800","-10.500:0.000:13.500","0.000:0.000:0.000","20.000:0.000:-7.738","0.000:0.000:1.300",99.996,"Nominal",0.000,1,"NavigateToSource:Forward"
0.3063,9,4,3,1.6179,2.9177,5.8164,2.8685,180,2,"Forklift(Clone):-10.50:0.02:13.48|Parcel_ATD-ELC-0001_Electronics:-24.81:1.06:15.55",-0.0220,-0.0355,-0.0051,-0.0012,-1.5795,-0.0183,0.0225,0.0145,1.1174,0.7216,-0.1203,9.3078,-33.8807,0.9195,False,False,"Parcel_1","-24.806:1.050:15.504","P3","D1-Electronics","ATD-ELC-0001","Electronics","Rack_0_3","Rack_0_3-S01",3.000,3,False,False,True,True,False,True,"H1:10.500:0.000:13.500|H2:-4.200:0.000:-13.258|H3:23.758:0.000:-14.989|H4:4.200:0.000:13.258|H5:8.400:0.000:9.758","H1:0.000:0.000:0.000|H2:0.000:0.000:0.800|H3:-0.799:0.000:0.035|H4:0.000:0.000:-0.800|H5:0.000:0.000:-0.800","F1:-10.500:0.000:13.500|F2:20.000:0.000:-7.606","F1:0.000:0.000:0.000|F2:0.000:0.000:1.300","10.500:0.000:13.500","0.000:0.000:0.000","-4.200:0.000:-13.258","0.000:0.000:0.800","23.758:0.000:-14.989","-0.799:0.000:0.035","4.200:0.000:13.258","0.000:0.000:-0.800","8.400:0.000:9.758","0.000:0.000:-0.800","-10.500:0.000:13.500","0.000:0.000:0.000","20.000:0.000:-7.606","0.000:0.000:1.300",99.994,"Nominal",0.000,1,"NavigateToSource:Forward"
0.4063,9,4,4,1.4986,1.7343,6.0522,2.4823,180,2,"Forklift(Clone):-10.48:-0.03:13.53|Parcel_ATD-ELC-0001_Electronics:-24.84:1.06:15.51",-0.0143,0.0130,0.1007,0.0129,-1.5680,0.0298,0.0431,0.0323,1.8905,1.4181,-0.2251,9.4418,-41.1056,1.6543,False,False,"Parcel_1","-24.806:1.050:15.504","P3","D1-Electronics","ATD-ELC-0001","Electronics","Rack_0_3","Rack_0_3-S01",3.000,3,False,False,True,True,False,True,"H1:10.500:0.000:13.500|H2:-4.200:0.000:-13.178|H3:23.678:0.000:-14.986|H4:4.200:0.000:13.178|H5:8.400:0.000:9.678","H1:0.000:0.000:0.000|H2:0.000:0.000:0.800|H3:-0.799:0.000:0.035|H4:0.000:0.000:-0.800|H5:0.000:0.000:-0.800","F1:-10.500:0.000:13.500|F2:20.000:0.000:-7.476","F1:0.000:0.000:0.000|F2:0.000:0.000:1.300","10.500:0.000:13.500","0.000:0.000:0.000","-4.200:0.000:-13.178","0.000:0.000:0.800","23.678:0.000:-14.986","-0.799:0.000:0.035","4.200:0.000:13.178","0.000:0.000:-0.800","8.400:0.000:9.678","0.000:0.000:-0.800","-10.500:0.000:13.500","0.000:0.000:0.000","20.000:0.000:-7.476","0.000:0.000:1.300",99.992,"Nominal",0.000,1,"NavigateToSource:Forward"
0.5068,9,4,5,1.3950,1.6048,6.5391,3.0684,180,1,"Forklift(Clone):-10.52:0.03:13.50",0.0095,0.0073,-0.0220,0.0042,-1.5714,-0.0196,0.0378,0.0365,1.8275,1.7656,-0.3363,9.5565,-47.0016,1.7965,False,False,"Parcel_1","-24.806:1.050:15.504","P3","D1-Electronics","ATD-ELC-0001","Electronics","Rack_0_3","Rack_0_3-S01",3.000,3,False,False,True,True,False,True,"H1:10.500:0.000:13.500|H2:-4.200:0.000:-13.097|H3:23.598:0.000:-14.983|H4:4.200:0.000:13.097|H5:8.400:0.000:9.597","H1:0.000:0.000:0.000|H2:0.000:0.000:0.800|H3:-0.799:0.000:0.035|H4:0.000:0.000:-0.800|H5:0.000:0.000:-0.800","F1:-10.500:0.000:13.500|F2:20.000:0.000:-7.346","F1:0.000:0.000:0.000|F2:0.000:0.000:1.300","10.500:0.000:13.500","0.000:0.000:0.000","-4.200:0.000:-13.097","0.000:0.000:0.800","23.598:0.000:-14.983","-0.799:0.000:0.035","4.200:0.000:13.097","0.000:0.000:-0.800","8.400:0.000:9.597","0.000:0.000:-0.800","-10.500:0.000:13.500","0.000:0.000:0.000","20.000:0.000:-7.346","0.000:0.000:1.300",99.990,"Nominal",0.000,1,"NavigateToSource:Forward"
0.6077,9,4,6,1.3161,1.8532,2.2981,3.9547,180,1,"Forklift(Clone):-10.52:0.01:13.54",-0.0038,-0.0078,0.0226,0.0034,-1.4647,0.0038,0.0349,0.0334,1.6062,1.5398,-0.4486,9.6450,-53.6665,1.5730,False,False,"Parcel_1","-24.806:1.050:15.504","P3","D1-Electronics","ATD-ELC-0001","Electronics","Rack_0_3","Rack_0_3-S01",3.000,3,False,False,True,True,False,True,"H1:10.500:0.000:13.500|H2:-4.200:0.000:-13.017|H3:23.517:0.000:-14.979|H4:4.200:0.000:13.017|H5:8.400:0.000:9.517","H1:0.000:0.000:0.000|H2:0.000:0.000:0.800|H3:-0.799:0.000:0.035|H4:0.000:0.000:-0.800|H5:0.000:0.000:-0.800","F1:-10.500:0.000:13.500|F2:20.000:0.000:-7.214","F1:0.000:0.000:0.000|F2:0.000:0.000:1.300","10.500:0.000:13.500","0.000:0.000:0.000","-4.200:0.000:-13.017","0.000:0.000:0.800","23.517:0.000:-14.979","-0.799:0.000:0.035","4.200:0.000:13.017","0.000:0.000:-0.800","8.400:0.000:9.517","0.000:0.000:-0.800","-10.500:0.000:13.500","0.000:0.000:0.000","20.000:0.000:-7.214","0.000:0.000:1.300",99.988,"Nominal",0.000,1,"NavigateToSource:Forward"
0.7094,9,4,7,1.2845,5.3847,2.0594,5.0830,180,1,"Forklift(Clone):-10.48:0.00:13.51",-0.0056,0.0040,0.0977,-0.0148,-1.1323,0.0188,0.0269,0.0168,1.1745,0.7333,-0.5736,9.7337,-57.2931,0.9539,False,False,"Parcel_1","-24.806:1.050:15.504","P3","D1-Electronics","ATD-ELC-0001","Electronics","Rack_0_3","Rack_0_3-S01",3.000,3,False,False,True,True,False,True,"H1:10.500:0.000:13.500|H2:-4.200:0.000:-12.935|H3:23.436:0.000:-14.975|H4:4.200:0.000:12.935|H5:8.400:0.000:9.435","H1:0.000:0.000:0.000|H2:0.000:0.000:0.800|H3:-0.799:0.000:0.035|H4:0.000:0.000:-0.800|H5:0.000:0.000:-0.800","F1:-10.500:0.000:13.500|F2:20.000:0.000:-7.082","F1:0.000:0.000:0.000|F2:0.000:0.000:1.300","10.500:0.000:13.500","0.000:0.000:0.000","-4.200:0.000:-12.935","0.000:0.000:0.800","23.436:0.000:-14.975","-0.799:0.000:0.035","4.200:0.000:12.935","0.000:0.000:-0.800","8.400:0.000:9.435","0.000:0.000:-0.800","-10.500:0.000:13.500","0.000:0.000:0.000","20.000:0.000:-7.082","0.000:0.000:1.300",99.986,"Nominal",0.000,1,"NavigateToSource:Forward"
0.8119,9,4,8,1.2788,4.8961,1.9179,6.6037,180,1,"Forklift(Clone):-10.47:0.02:13.51",-0.0133,0.0347,-0.0018,-0.0070,-0.8405,-0.0097,0.0370,0.0184,1.6399,0.8180,-0.7201,9.8320,-60.0074,1.2290,False,False,"Parcel_1","-24.806:1.050:15.504","P3","D1-Electronics","ATD-ELC-0001","Electronics","Rack_0_3","Rack_0_3-S01",3.000,3,False,False,True,True,False,True,"H1:10.500:0.000:13.500|H2:-4.200:0.000:-12.853|H3:23.354:0.000:-14.972|H4:4.200:0.000:12.853|H5:8.400:0.000:9.353","H1:0.000:0.000:0.000|H2:0.000:0.000:0.800|H3:-0.799:0.000:0.035|H4:0.000:0.000:-0.800|H5:0.000:0.000:-0.800","F1:-10.500:0.000:13.500|F2:20.000:0.000:-6.949","F1:0.000:0.000:0.000|F2:0.000:0.000:1.300","10.500:0.000:13.500","0.000:0.000:0.000","-4.200:0.000:-12.853","0.000:0.000:0.800","23.354:0.000:-14.972","-0.799:0.000:0.035","4.200:0.000:12.853","0.000:0.000:-0.800","8.400:0.000:9.353","0.000:0.000:-0.800","-10.500:0.000:13.500","0.000:0.000:0.000","20.000:0.000:-6.949","0.000:0.000:1.300",99.984,"Nominal",0.000,1,"NavigateToSource:Forward"
0.9139,9,4,9,1.2493,4.5514,1.8329,10.0000,180,1,"Forklift(Clone):-10.50:-0.01:13.49",0.0176,0.0712,0.0431,-0.0076,-0.6689,-0.0210,0.0464,0.0421,2.1083,1.9111,-0.8409,9.8944,-63.1436,2.0097,False,False,"Parcel_1","-24.806:1.050:15.504","P3","D1-Electronics","ATD-ELC-0001","Electronics","Rack_0_3","Rack_0_3-S01",3.000,3,False,False,True,True,False,True,"H1:10.500:0.000:13.500|H2:-4.200:0.000:-12.772|H3:23.272:0.000:-14.968|H4:4.200:0.000:12.772|H5:8.400:0.000:9.272","H1:0.000:0.000:0.000|H2:0.000:0.000:0.800|H3:-0.799:0.000:0.035|H4:0.000:0.000:-0.800|H5:0.000:0.000:-0.800","F1:-10.500:0.000:13.500|F2:20.000:0.000:-6.816","F1:0.000:0.000:0.000|F2:0.000:0.000:1.300","10.500:0.000:13.500","0.000:0.000:0.000","-4.200:0.000:-12.772","0.000:0.000:0.800","23.272:0.000:-14.968","-0.799:0.000:0.035","4.200:0.000:12.772","0.000:0.000:-0.800","8.400:0.000:9.272","0.000:0.000:-0.800","-10.500:0.000:13.500","0.000:0.000:0.000","20.000:0.000:-6.816","0.000:0.000:1.300",99.982,"Nominal",0.000,1,"NavigateToSource:Forward"
1.0155,9,4,10,1.2654,4.2648,1.7957,9.9937,180,1,"Forklift(Clone):-10.52:-0.02:13.48",0.0974,0.0190,0.0396,0.0187,-0.4816,0.0055,0.0294,0.0244,1.4396,1.1934,-0.9718,9.9631,-63.5087,1.3165,False,False,"Parcel_1","-24.806:1.050:15.504","P3","D1-Electronics","ATD-ELC-0001","Electronics","Rack_0_3","Rack_0_3-S01",3.000,3,False,False,True,True,False,True,"H1:10.500:0.000:13.500|H2:-4.200:0.000:-12.690|H3:23.191:0.000:-14.965|H4:4.200:0.000:12.690|H5:8.400:0.000:9.190","H1:0.000:0.000:0.000|H2:0.000:0.000:0.800|H3:-0.799:0.000:0.035|H4:0.000:0.000:-0.800|H5:0.000:0.000:-0.800","F1:-10.500:0.000:13.500|F2:20.000:0.000:-6.684","F1:0.000:0.000:0.000|F2:0.000:0.000:1.300","10.500:0.000:13.500","0.000:0.000:0.000","-4.200:0.000:-12.690","0.000:0.000:0.800","23.191:0.000:-14.965","-0.799:0.000:0.035","4.200:0.000:12.690","0.000:0.000:-0.800","8.400:0.000:9.190","0.000:0.000:-0.800","-10.500:0.000:13.500","0.000:0.000:0.000","20.000:0.000:-6.684","0.000:0.000:1.300",99.980,"Nominal",0.000,1,"NavigateToSource:Forward"
