timestamp,scenario_id,episode_id,step_id,robot_x,robot_y,robot_z,robot_yaw,robot_linear_velocity,robot_angular_velocity,goal_x,goal_y,goal_z,distance_to_goal,number_of_dynamic_objects,obstacle_positions,obstacle_velocities,human_positions,human_velocities,forklift_positions,forklift_velocities,collision,goal_reached,navigation_status,warehouse_length,warehouse_width,aisle_width,scenario_type
2.1383,18,8,21,-22.6348,0.0500,-11.2696,26.4229,1.4884,0.3692,-22.0000,0.0000,-10.0000,1.4203,2,"","","2.000:0.000:-5.437","0.000:0.000:1.200","-4.000:0.000:-1.729","0.000:0.000:2.000",False,False,Moving,60.00,40.00,3.00,StressTest
2.2401,18,8,22,-22.5665,0.0500,-11.1330,26.4549,1.3877,0.2672,-22.0000,0.0000,-10.0000,1.2677,2,"","","2.000:0.000:-5.315","0.000:0.000:1.200","-4.000:0.000:-1.525","0.000:0.000:2.000",False,False,Moving,60.00,40.00,3.00,StressTest
2.3414,18,8,23,-22.4985,0.0500,-10.9971,26.4795,1.6252,0.2437,-22.0000,0.0000,-10.0000,1.1159,2,"","","2.000:0.000:-5.193","0.000:0.000:1.200","-4.000:0.000:-1.322","0.000:0.000:2.000",False,False,Moving,60.00,40.00,3.00,StressTest
2.4436,18,8,24,-22.4300,0.0500,-10.8601,26.4987,1.6563,0.1930,-22.0000,0.0000,-10.0000,0.9629,2,"","","2.000:0.000:-5.071","0.000:0.000:1.200","-4.000:0.000:-1.118","0.000:0.000:2.000",False,False,Moving,60.00,40.00,3.00,StressTest
2.5445,18,8,25,-22.3623,0.0500,-10.7247,26.5134,1.4843,0.1340,-22.0000,0.0000,-10.0000,0.8118,2,"","","2.000:0.000:-4.950","0.000:0.000:1.200","-4.000:0.000:-0.916","0.000:0.000:2.000",False,False,Moving,60.00,40.00,3.00,StressTest
2.6451,18,8,26,-22.2950,0.0500,-10.5901,26.5248,1.4116,0.0995,-22.0000,0.0000,-10.0000,0.6616,2,"","","2.000:0.000:-4.829","0.000:0.000:1.200","-4.000:0.000:-0.715","0.000:0.000:2.000",False,False,Moving,60.00,40.00,3.00,StressTest
2.7478,18,8,27,-22.2316,0.0500,-10.4633,26.5333,1.2693,0.0729,-22.0000,0.0000,-10.0000,0.5204,2,"","","2.000:0.000:-4.706","0.000:0.000:1.200","-4.000:0.000:-0.510","0.000:0.000:2.000",False,False,Moving,60.00,40.00,3.00,StressTest
2.8492,18,8,28,-22.1765,0.0500,-10.3530,26.5395,1.0988,0.0531,-22.0000,0.0000,-10.0000,0.3978,2,"","","2.000:0.000:-4.584","0.000:0.000:1.200","-4.000:0.000:-0.307","0.000:0.000:2.000",False,True,GoalReached,60.00,40.00,3.00,StressTest
2.9495,18,8,29,-22.0895,0.0500,-10.2519,29.7716,1.4922,46.9206,-8.4000,0.0000,13.5000,27.4145,2,"","","2.000:0.000:-4.464","0.000:0.000:1.200","-4.000:0.000:-0.106","0.000:0.000:2.000",False,False,Moving,60.00,40.00,3.00,StressTest
3.0524,18,8,30,-21.9814,0.0500,-10.1432,33.0189,1.4049,24.1886,-8.4000,0.0000,13.5000,27.2664,2,"","","2.000:0.000:-4.340","0.000:0.000:1.200","-4.000:0.000:0.100","0.000:0.000:2.000",False,False,Moving,60.00,40.00,3.00,StressTest
3.1547,18,8,31,-21.9044,0.0500,-10.0106,32.3316,1.6506,-7.1198,-8.4000,0.0000,13.5000,27.1131,2,"","","2.000:0.000:-4.217","0.000:0.000:1.200","-4.000:0.000:0.304","0.000:0.000:2.000",False,False,Moving,60.00,40.00,3.00,StressTest
3.2554,18,8,32,-21.8292,0.0500,-9.8795,31.7759,1.5002,-5.0186,-8.4000,0.0000,13.5000,26.9619,2,"","","2.000:0.000:-4.097","0.000:0.000:1.200","-4.000:0.000:0.506","0.000:0.000:2.000",False,False,Moving,60.00,40.00,3.00,StressTest
3.3555,18,8,33,-21.7545,0.0500,-9.7493,31.3467,1.5272,-3.9764,-8.4000,0.0000,13.5000,26.8118,2,"","","2.000:0.000:-3.976","0.000:0.000:1.200","-4.000:0.000:0.706","0.000:0.000:2.000",False,False,Moving,60.00,40.00,3.00,StressTest
3.4575,18,8,34,-21.6784,0.0500,-9.6166,31.0075,1.4420,-2.9266,-8.4000,0.0000,13.5000,26.6589,2,"","","2.000:0.000:-3.854","0.000:0.000:1.200","-4.000:0.000:0.910","0.000:0.000:2.000",False,False,Moving,60.00,40.00,3.00,StressTest
3.5596,18,8,35,-21.6021,0.0500,-9.4837,30.7445,1.4356,-2.2736,-8.4000,0.0000,13.5000,26.5057,2,"","","2.000:0.000:-3.732","0.000:0.000:1.200","-4.000:0.000:1.114","0.000:0.000:2.000",False,False,Moving,60.00,40.00,3.00,StressTest
3.6620,18,8,36,-21.5257,0.0500,-9.3505,30.5406,1.4674,-1.8005,-8.4000,0.0000,13.5000,26.3521,2,"","","2.000:0.000:-3.609","0.000:0.000:1.200","-4.000:0.000:1.319","0.000:0.000:2.000",False,False,Moving,60.00,40.00,3.00,StressTest
3.7648,18,8,37,-21.4490,0.0500,-9.2168,30.3822,1.5898,-1.5213,-8.4000,0.0000,13.5000,26.1979,2,"","","2.000:0.000:-3.485","0.000:0.000:1.200","-4.000:0.000:1.524","0.000:0.000:2.000",False,False,Moving,60.00,40.00,3.00,StressTest
3.8716,18,8,38,-21.3693,0.0500,-9.0778,30.2557,1.6020,-1.1948,-8.4000,0.0000,13.5000,26.0377,2,"","","2.000:0.000:-3.357","0.000:0.000:1.200","-4.000:0.000:1.738","0.000:0.000:2.000",False,False,Moving,60.00,40.00,3.00,StressTest
3.9736,18,8,39,-21.2931,0.0500,-8.9451,30.1629,1.4257,-0.7843,-8.4000,0.0000,13.5000,25.8847,2,"","","2.000:0.000:-3.235","0.000:0.000:1.200","-4.000:0.000:1.942","0.000:0.000:2.000",False,False,Moving,60.00,40.00,3.00,StressTest
4.0756,18,8,40,-21.2170,0.0500,-8.8124,30.0909,1.6944,-0.7248,-8.4000,0.0000,13.5000,25.7317,2,"","","2.000:0.000:-3.112","0.000:0.000:1.200","-4.000:0.000:2.146","0.000:0.000:2.000",False,False,Moving,60.00,40.00,3.00,StressTest
4.1769,18,8,41,-21.1413,0.0500,-8.6806,30.0356,1.4246,-0.4745,-8.4000,0.0000,13.5000,25.5797,2,"","","2.000:0.000:-2.991","0.000:0.000:1.200","-4.000:0.000:2.349","0.000:0.000:2.000",False,False,Moving,60.00,40.00,3.00,StressTest
4.2782,18,8,42,-21.0657,0.0500,-8.5488,29.9927,1.5941,-0.4120,-8.4000,0.0000,13.5000,25.4278,2,"","","2.000:0.000:-2.869","0.000:0.000:1.200","-4.000:0.000:2.551","0.000:0.000:2.000",False,False,Moving,60.00,40.00,3.00,StressTest
4.3793,18,8,43,-20.9902,0.0500,-8.4173,29.9595,1.3737,-0.2777,-8.4000,0.0000,13.5000,25.2761,2,"","","2.000:0.000:-2.748","0.000:0.000:1.200","-4.000:0.000:2.753","0.000:0.000:2.000",False,False,Moving,60.00,40.00,3.00,StressTest
4.4812,18,8,44,-20.9142,0.0500,-8.2847,29.9336,1.4476,-0.2258,-8.4000,0.0000,13.5000,25.1233,2,"","","2.000:0.000:-2.626","0.000:0.000:1.200","-4.000:0.000:2.957","0.000:0.000:2.000",False,False,Moving,60.00,40.00,3.00,StressTest
4.5837,18,8,45,-20.8377,0.0500,-8.1514,29.9134,1.4698,-0.1801,-8.4000,0.0000,13.5000,24.9696,2,"","","2.000:0.000:-2.503","0.000:0.000:1.200","-4.000:0.000:3.162","0.000:0.000:2.000",False,False,Moving,60.00,40.00,3.00,StressTest
4.6850,18,8,46,-20.7621,0.0500,-8.0196,29.8979,1.4257,-0.1358,-8.4000,0.0000,13.5000,24.8176,2,"","","2.000:0.000:-2.381","0.000:0.000:1.200","-4.000:0.000:3.365","0.000:0.000:2.000",False,False,Moving,60.00,40.00,3.00,StressTest
4.7851,18,8,47,-20.6874,0.0500,-7.8893,29.8861,1.7564,-0.1297,-8.4000,0.0000,13.5000,24.6675,2,"","","2.000:0.000:-2.261","0.000:0.000:1.200","-4.000:0.000:3.565","0.000:0.000:2.000",False,False,Moving,60.00,40.00,3.00,StressTest
4.8854,18,8,48,-20.6125,0.0500,-7.7588,29.8768,1.7979,-0.1038,-8.4000,0.0000,13.5000,24.5171,2,"","","2.000:0.000:-2.141","0.000:0.000:1.200","-4.000:0.000:3.766","0.000:0.000:2.000",False,False,Moving,60.00,40.00,3.00,StressTest
4.9863,18,8,49,-20.5371,0.0500,-7.6275,29.8696,1.4808,-0.0656,-8.4000,0.0000,13.5000,24.3656,2,"","","2.000:0.000:-2.020","0.000:0.000:1.200","-4.000:0.000:3.967","0.000:0.000:2.000",False,False,Moving,60.00,40.00,3.00,StressTest
5.0886,18,8,50,-20.4608,0.0500,-7.4945,29.8639,1.5042,-0.0519,-8.4000,0.0000,13.5000,24.2123,2,"","","2.000:0.000:-1.897","0.000:0.000:1.200","-4.000:0.000:4.172","0.000:0.000:2.000",False,False,Moving,60.00,40.00,3.00,StressTest
5.1888,18,8,51,-20.3860,0.0500,-7.3640,29.8596,1.5458,-0.0412,-8.4000,0.0000,13.5000,24.0619,2,"","","2.000:0.000:-1.777","0.000:0.000:1.200","-4.000:0.000:4.372","0.000:0.000:2.000",False,False,Moving,60.00,40.00,3.00,StressTest
5.2905,18,8,52,-20.3101,0.0500,-7.2317,29.8562,1.4071,-0.0305,-8.4000,0.0000,13.5000,23.9093,2,"","","2.000:0.000:-1.654","0.000:0.000:1.200","-4.000:0.000:4.576","0.000:0.000:2.000",False,False,Moving,60.00,40.00,3.00,StressTest
5.3925,18,8,53,-20.2339,0.0500,-7.0990,29.8536,1.5197,-0.0244,-8.4000,0.0000,13.5000,23.7564,2,"","","2.000:0.000:-1.532","0.000:0.000:1.200","-4.000:0.000:4.780","0.000:0.000:2.000",False,False,Moving,60.00,40.00,3.00,StressTest
5.4949,18,8,54,-20.1575,0.0500,-6.9659,29.8515,1.4791,-0.0183,-8.4000,0.0000,13.5000,23.6028,2,"","","2.000:0.000:-1.409","0.000:0.000:1.200","-4.000:0.000:4.985","0.000:0.000:2.000",False,False,Moving,60.00,40.00,3.00,StressTest
5.5962,18,8,55,-20.0819,0.0500,-6.8340,29.8500,1.4589,-0.0137,-8.4000,0.0000,13.5000,23.4508,2,"","","2.000:0.000:-1.288","0.000:0.000:1.200","-4.000:0.000:5.187","0.000:0.000:2.000",False,False,Moving,60.00,40.00,3.00,StressTest
5.6987,18,8,56,-20.0054,0.0500,-6.7007,29.8487,1.4987,-0.0107,-8.4000,0.0000,13.5000,23.2971,2,"","","2.000:0.000:-1.165","0.000:0.000:1.200","-4.000:0.000:5.392","0.000:0.000:2.000",False,False,Moving,60.00,40.00,3.00,StressTest
5.8012,18,8,57,-19.9289,0.0500,-6.5673,29.8478,1.5148,-0.0076,-8.4000,0.0000,13.5000,23.1433,2,"","","2.000:0.000:-1.042","0.000:0.000:1.200","-4.000:0.000:5.597","0.000:0.000:2.000",False,False,Moving,60.00,40.00,3.00,StressTest
5.9019,18,8,58,-19.8537,0.0500,-6.4363,29.8471,1.5987,-0.0076,-8.4000,0.0000,13.5000,22.9923,2,"","","2.000:0.000:-0.921","0.000:0.000:1.200","-4.000:0.000:5.799","0.000:0.000:2.000",False,False,Moving,60.00,40.00,3.00,StressTest
6.0027,18,8,59,-19.7785,0.0500,-6.3052,29.8465,1.3613,-0.0046,-8.4000,0.0000,13.5000,22.8411,2,"","","2.000:0.000:-0.800","0.000:0.000:1.200","-4.000:0.000:5.717","0.000:0.000:-2.000",False,False,Moving,60.00,40.00,3.00,StressTest
6.1052,18,8,60,-19.7019,0.0500,-6.1717,29.8461,1.5186,-0.0046,-8.4000,0.0000,13.5000,22.6873,2,"","","2.000:0.000:-0.677","0.000:0.000:1.200","-4.000:0.000:5.512","0.000:0.000:-2.000",False,False,Moving,60.00,40.00,3.00,StressTest
6.2058,18,8,61,-19.6268,0.0500,-6.0408,29.8458,1.4681,-0.0031,-8.4000,0.0000,13.5000,22.5364,2,"","","2.000:0.000:-0.556","0.000:0.000:1.200","-4.000:0.000:5.311","0.000:0.000:-2.000",False,False,Moving,60.00,40.00,3.00,StressTest
6.3079,18,8,62,-19.5506,0.0500,-5.9081,29.8455,1.6171,-0.0031,-8.4000,0.0000,13.5000,22.3833,2,"","","2.000:0.000:-0.434","0.000:0.000:1.200","-4.000:0.000:5.107","0.000:0.000:-2.000",False,False,Moving,60.00,40.00,3.00,StressTest
6.4096,18,8,63,-19.4747,0.0500,-5.7757,29.8453,1.5647,-0.0015,-8.4000,0.0000,13.5000,22.2307,2,"","","2.000:0.000:-0.312","0.000:0.000:1.200","-4.000:0.000:4.903","0.000:0.000:-2.000",False,False,Moving,60.00,40.00,3.00,StressTest
6.5106,18,8,64,-19.3993,0.0500,-5.6443,29.8452,1.5672,-0.0015,-8.4000,0.0000,13.5000,22.0792,2,"","","2.000:0.000:-0.190","0.000:0.000:1.200","-4.000:0.000:4.701","0.000:0.000:-2.000",False,False,Moving,60.00,40.00,3.00,StressTest
6.6120,18,8,65,-19.3236,0.0500,-5.5123,29.8451,1.6290,-0.0015,-8.4000,0.0000,13.5000,21.9271,2,"","","2.000:0.000:-0.069","0.000:0.000:1.200","-4.000:0.000:4.499","0.000:0.000:-2.000",False,False,Moving,60.00,40.00,3.00,StressTest
6.7148,18,8,66,-19.2469,0.0500,-5.3786,29.8450,1.5819,-0.0015,-8.4000,0.0000,13.5000,21.7729,2,"","","2.000:0.000:0.055","0.000:0.000:1.200","-4.000:0.000:4.293","0.000:0.000:-2.000",False,False,Moving,60.00,40.00,3.00,StressTest
6.8148,18,8,67,-19.1722,0.0500,-5.2484,29.8449,1.5444,-0.0015,-8.4000,0.0000,13.5000,21.6228,2,"","","2.000:0.000:0.175","0.000:0.000:1.200","-4.000:0.000:4.093","0.000:0.000:-2.000",False,False,Moving,60.00,40.00,3.00,StressTest
